CIS.NO,Subject,Description,Status,Current_Setting,Remediation
2.3.1,Ensure only SNMPv3 is enabled,"Ensuring that only SNMPv3 service is enabled and SNMPv1, SNMPv2c are disabled.",PASS,"SNMP Agent Status: disable
SNMP is disabled",
2.4.4,Ensure idle timeout time is configured,The idle timeout period is the amount of time that an administrator will stay logged in to the GUI without any activity. ,PASS,admintimeout: 5,
2.4.5,Ensure only encrypted access channels are enabled,Allow only HTTPS access to the GUI and SSH access to the CLI. ,FAIL,"Interface: port1
Status: up
AllowAccess: ping,, https,, ssh,, http
=> Non-compliant (uses: http)

Interface: naf.root
Status: up
AllowAccess: Not Found
=> Compliant

Interface: l2t.root
Status: up
AllowAccess: Not Found
=> Compliant

Interface: ssl.root
Status: up
AllowAccess: Not Found
=> Compliant

Interface: fortilink
Status: up
AllowAccess: ping,, fabric
=> Compliant","Reason:
    port1 allows: http

Remediation:
    If HTTP or Telnet is in the allowaccess list, you will have to set that list again with the same elements except for http or telnet. 

    On CLI: 
        FG1 # config system interface 
        FG1 (interface) # edit port1 
        FG1 (port1) # set allowaccess ssh https ping snmp 
        FG1 (port1) # end 
        FG1 # 

    In the web GUI, click on: 
        1. Network > Interfaces, select the interface and click ""Edit"".  
        2. In the interface setting page, uncheck HTTP and Telnet in the section ""Administrative Access""."
2.5.1,Ensure High Availability configuration is enabled,Ensure that FortiGate devices are configured for High Availability (HA).,FAIL,"mode: standalone, group-name: Not Set, hbdev: NOT SET, password_set: Yes","Reason:
    HA mode is 'standalone' (should be a-p or a-a); group-name not set; heartbeat interface (hbdev) not configured

Remediation:
    In GUI: 
        1. Navigate to ""System"" and then ""HA"" 
        2. Ensure ""Mode"" is set to proper setting ""Active-Active"" or ""Active-Passive"" 
        3. Review Configuration settings: 
             - ""Cluster Name"" must match on devices 
             - ""Password"" Must match on devices 
             - ""Heartbeat Interfaces"" need to be defined on devices 
         4. Click ""OK"" to save changes and exit 

    In CLI: 
        FGT1 # config system ha  
        FGT1 (ha) # set mode a-p                                              ###(Active-Passive) 
        FGT1 (ha) # set group-name ""FGT-HA""                       ###(Set cluster name) 
        FGT1 (ha) # set password *******                             ###(Set password)  
        FGT1 (ha) # set hbdev port10 50                                 ###(Set Heartbeat Interface and priority) 
        FGT1 (ha) # end 

    To review configuration in CLI: 
        FGT1 # config system ha 
        FGT1 (ha) # show 
        config system ha 
            set group-name ""FGT-HA"" 
            set mode a-p 
            set password ENC    
  enrwD467hJmO6j6YW/l6FEOa1YNVYdo8Z5mCcTDEKUFpOVXcNYnPBmQDGX//ViXk6TkwNH0il5aJr/fZY25lq+husndQHZVWp2LIlXmCv/n81U43nkZUWaIKvqkellGFbhv0/IHoOLzQPCsVcBbyrsgoprYMvh6w7F+nRriBtMNQxpOV5V+e388EcwsOOMsXBZOw== 
            set hbdev ""port10"" 50  
            set override disable 
         end"
2.5.2,"Ensure ""Monitor Interfaces"" for High Availability devices is enabled",Configure Interface Monitoring within High Availability settings. Interface Monitoring should be enabled on all critical interfaces. ,FAIL,monitor_interfaces: NOT SET,"Reason:
    No monitor interfaces are defined in the HA configuration.

Remediation:
    To remediate from GUI: 
        1. Go to System > HA. 
        2. Under ""Monitor Interfaces"" select all applicable interfaces. 
        3. Select ""OK"". 

    To validate from CLI: 
        FGT1 # config system ha 
        FGT1 (ha) # set monitor ""port6"" ""port7"" 
        FGT1 (ha) # show                            ###To Review changes to monitored interfaces before applying 
        config system ha 
            set group-name ""FGT-HA"" 
            set mode a-p 
            set password ENC enrwD467hJmO6j6YW/l6FEOa1YNVYdo8Z5mCcTDEKUFpOVXcNYnPBmQDGX//ViXk6TkwNH0il5aJr/fZY25lq+husndQHZVWp2LIlXmCv/n81U43nkZUWaIKvqkellGFbhv0/IHoOLzQPCsVcBbyrsgoprYMvh6w7F06+nRriBtMNQxpiTE+12xAHz7lA3EoYZzf8A== 
            set override disable 
            set monitor ""port6"" ""port7""    
        end "
3.2,"Ensure that policies do not use ""ALL"" as Service",Ensure that all security policies in effect clearly state which protocols / services they are allowing. ,PASS,"No firewall policy uses service ""ALL""",
4.2.1,Ensure Antivirus Definition Push Updates are Configured,Ensure FortiGate is configured to accept antivirus definition push updates. ,PASS,"status: enable, frequency: automatic",
4.2.3,Enable Outbreak Prevention Database,Ensure FortiGate AV inspection uses outbreak prevention database as an added layer  of protection on top of antivirus' signature-based detection.,FAIL,"Profile: default => outbreak-prevention: disable
Profile: sniffer-profile => outbreak-prevention: disable
Profile: wifi-default => outbreak-prevention: disable","Reason:
    Outbreak prevention not properly configured in profiles: default, sniffer-profile, wifi-default

Remediation:
    Review Antivirus Security Profiles and validate that ""Use FortiGuard outbreak prevention database"" is enabled. "
4.2.4,Enable AI /heuristic based malware detection,AI /heuristic based detection should be enabled.,PASS,machine-learning-detection: enable,
4.2.5,Enable grayware detection on antivirus,Grayware detection should be enabled. ,PASS,grayware: enable,
4.4.2,Block applications running on non-default ports,Ensure FortiGate Application Control blocks applications running on non-default ports. ,FAIL,"default: DISABLED, sniffer-profile: DISABLED, wifi-default: DISABLED, block-high-risk: DISABLED","Reason:
    One or more Application Control profiles do not have enforce-default-app-port enabled.

Remediation:
    GUI: 
        1. Go to ""Security Profiles"" > ""Application Control"". 
        2. Select relevant App Control profile. 

    Enable ""Block applications detected on non-default ports"" option. 

    On CLI: 
        FGT1 # config application list 
        FGT1 (list) # edit <profile name> 
        FGT1 (<profile name>) # set enforce-default-app-port enable"
7.1.1,Enable Event Logging,Enabling event logging to allow for log generation and review.,PASS,event:enable,
7.2.1,Encrypt Log Transmission to FortiAnalyzer / FortiManager ,Enable encryption for logs that are sent to FortiAnalyzer or FortiManager. ,FAIL,"enc-algorithm: UNSET, reliable: UNSET","Reason:
    enc-algorithm not set to 'high'; reliable not set to 'enable'

Remediation:
    Secure log transfer settings can only be configured on CLI: 
        config log fortianalyzer setting 
        set reliable enable 
        set enc-algorithm high 
        end "
