name,query,execution_target,multitenant,nonmultitenant,check
2.3.11 Ensure 'SEC_RETURN_SERVER_RELEASE_BANNER' Is Set To 'FALSE',"SELECT DECODE(V.CON_ID,0,'ENTIRE-'||SYS_CONTEXT('USERENV','DB_NAME'), 1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'), CON_ID_TO_CON_NAME(V.CON_ID)) AS CONTAINERNAME, UPPER(V.VALUE) FROM GV$SYSTEM_PARAMETER V WHERE UPPER(NAME) = 'SEC_RETURN_SERVER_RELEASE_BANNER' AND UPPER(VALUE) != 'FALSE' ORDER BY CON_ID;",db_query,null,null,TRUE
2.3.12 Ensure 'REMOTE_LOGIN_PASSWORDFILE' Is Set To 'NONE',"SELECT DECODE(V.CON_ID,0,'ENTIRE-'||SYS_CONTEXT('USERENV','DB_NAME'), 1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'), CON_ID_TO_CON_NAME(V.CON_ID)) AS CONTAINERNAME, UPPER(V.VALUE) FROM GV$SYSTEM_PARAMETER V WHERE UPPER(NAME) = 'REMOTE_LOGIN_PASSWORDFILE' and 'DG' != (SELECT 'DG' FROM V$DATABASE where database_role in ('PRIMARY','PHYSICAL STANDBY','LOGICAL STANDBY','SNAPSHOT STANDBY')) AND UPPER(VALUE) != 'NONE' union SELECT DECODE(V.CON_ID,0,'ENTIRE-'||SYS_CONTEXT('USERENV','DB_NAME'), 1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'), CON_ID_TO_CON_NAME(V.CON_ID)) AS CONTAINERNAME, UPPER(V.VALUE) FROM GV$SYSTEM_PARAMETER V WHERE UPPER(NAME) = 'REMOTE_LOGIN_PASSWORDFILE' and 'DG' = (SELECT 'DG' FROM V$DATABASE where database_role in ('PRIMARY','PHYSICAL STANDBY','LOGICAL STANDBY','SNAPSHOT STANDBY')) AND UPPER(VALUE) != 'EXCLUSIVE';",db_query,null,null,TRUE
2.3.13 Ensure 'REMOTE_LISTENER' Is Empty,"SELECT DECODE(V.CON_ID,0,'ENTIRE-'||SYS_CONTEXT('USERENV','DB_NAME'), 1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'), CON_ID_TO_CON_NAME(V.CON_ID)) AS CONTAINERNAME, UPPER(V.VALUE) FROM GV$SYSTEM_PARAMETER V WHERE UPPER(NAME) = 'REMOTE_LISTENER' AND VALUE IS NOT NULL ORDER BY CON_ID;",db_query,null,null,TRUE
2.3.14 Ensure 'RESOURCE_LIMIT' Is Set To 'TRUE' (Automated),"SELECT DECODE(V.CON_ID,0,'ENTIRE-'||SYS_CONTEXT('USERENV','DB_NAME'), 1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'), CON_ID_TO_CON_NAME(V.CON_ID)) AS CONTAINERNAME, UPPER(V.VALUE) FROM GV$SYSTEM_PARAMETER V WHERE UPPER(NAME) = 'RESOURCE_LIMIT' AND UPPER(VALUE) != 'TRUE' ORDER BY CON_ID;",db_query,null,null,TRUE
3.1 Ensure 'FAILED_LOGIN_ATTEMPTS' Is Less Than Or Equal To '5',"SELECT DECODE(P.CON_ID,0,'ENTIRE-'||SYS_CONTEXT('USERENV','DB_NAME'), 1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'), CON_ID_TO_CON_NAME(P.CON_ID)) AS CONTAINERNAME, P.PROFILE, P.RESOURCE_NAME, P.LIMIT FROM CDB_PROFILES P WHERE P.RESOURCE_NAME = 'FAILED_LOGIN_ATTEMPTS' AND TO_NUMBER(DECODE(P.LIMIT, 'DEFAULT', (SELECT DECODE(LIMIT,'UNLIMITED',9999,LIMIT) FROM CDB_PROFILES WHERE PROFILE='DEFAULT' AND RESOURCE_NAME='FAILED_LOGIN_ATTEMPTS' AND CON_ID = P.CON_ID), 'UNLIMITED','9999',P.LIMIT)) > 5 ORDER BY CON_ID, PROFILE, RESOURCE_NAME;",db_query,null,null,TRUE
3.2 Ensure 'PASSWORD_LOCK_TIME' Is Greater Than Or Equal To '1',"SELECT DECODE(P.CON_ID,0,'ENTIRE-'||SYS_CONTEXT('USERENV','DB_NAME'), 1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'), CON_ID_TO_CON_NAME(P.CON_ID)) AS CONTAINERNAME, P.PROFILE, P.RESOURCE_NAME, P.LIMIT FROM CDB_PROFILES P WHERE TO_NUMBER(DECODE(P.LIMIT, 'DEFAULT',(SELECT DECODE(LIMIT,'UNLIMITED',9999,LIMIT) FROM CDB_PROFILES WHERE PROFILE='DEFAULT' AND RESOURCE_NAME='PASSWORD_LOCK_TIME' AND CON_ID = P.CON_ID), 'UNLIMITED','9999',P.LIMIT)) < 1 ORDER BY CON_ID, PROFILE, RESOURCE_NAME;",db_query,null,null,TRUE
3.3 Ensure 'PASSWORD_LIFE_TIME + PASSWORD_GRACE_TIME' Is Less Than Or Equal To '365',"WITH PWD_LIFE_TIME AS (SELECT CON_ID, DECODE(P.CON_ID,0,'ENTIRE '||SYS_CONTEXT('USERENV','DB_NAME'), 1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'), CON_ID_TO_CON_NAME(P.CON_ID)) AS CONTAINERNAME, P.PROFILE, P.RESOURCE_NAME, TO_NUMBER(DECODE(P.LIMIT, 'DEFAULT',(SELECT DECODE(LIMIT,'UNLIMITED',9999,LIMIT) FROM CDB_PROFILES WHERE PROFILE='DEFAULT' AND RESOURCE_NAME='PASSWORD_LIFE_TIME' AND CON_ID = P.CON_ID), 'UNLIMITED','9999', P.LIMIT)) LIMIT FROM CDB_PROFILES P WHERE P.RESOURCE_NAME = 'PASSWORD_LIFE_TIME'), PWD_GRACE_TIME AS (SELECT CON_ID, DECODE(P.CON_ID,0,'ENTIRE '||SYS_CONTEXT('USERENV','DB_NAME'), 1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'), CON_ID_TO_CON_NAME(P.CON_ID)) AS CONTAINERNAME, P.PROFILE, P.RESOURCE_NAME, TO_NUMBER(DECODE(P.LIMIT, 'DEFAULT',(SELECT DECODE(LIMIT,'UNLIMITED',9999,LIMIT) FROM CDB_PROFILES WHERE PROFILE='DEFAULT' AND RESOURCE_NAME='PASSWORD_GRACE_TIME' AND CON_ID = P.CON_ID), 'UNLIMITED','9999', P.LIMIT)) LIMIT FROM CDB_PROFILES P WHERE P.RESOURCE_NAME = 'PASSWORD_GRACE_TIME') SELECT L.CONTAINERNAME, L.PROFILE, L.RESOURCE_NAME, L.LIMIT, G.RESOURCE_NAME, G.LIMIT FROM PWD_LIFE_TIME L, PWD_GRACE_TIME G WHERE L.CON_ID = G.CON_ID AND L.PROFILE = G.PROFILE AND L.LIMIT + G.LIMIT > 365 ORDER BY L.CON_ID, L.PROFILE, L.RESOURCE_NAME;",db_query,null,null,TRUE
3.4 Ensure 'PASSWORD_REUSE_MAX' Is Set To 'UNLIMITED',"SELECT DECODE(P.CON_ID,0,'ENTIRE-'||SYS_CONTEXT('USERENV','DB_NAME'), 1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'), CON_ID_TO_CON_NAME(P.CON_ID)) AS CONTAINERNAME, P.PROFILE, P.RESOURCE_NAME, P.LIMIT FROM CDB_PROFILES P WHERE TO_NUMBER(DECODE(P.LIMIT, 'DEFAULT',(SELECT DECODE(LIMIT,'UNLIMITED',9999,LIMIT) FROM CDB_PROFILES WHERE PROFILE='DEFAULT' AND RESOURCE_NAME='PASSWORD_REUSE_MAX' AND CON_ID = P.CON_ID), 'UNLIMITED','9999',P.LIMIT)) < 9999 AND P.RESOURCE_NAME = 'PASSWORD_REUSE_MAX' ORDER BY CON_ID, PROFILE, RESOURCE_NAME;",db_query,null,null,TRUE
3.5 Ensure 'PASSWORD_VERIFY_FUNCTION' Is Set For All Profiles,"SELECT DECODE(P.CON_ID,0,'ENTIRE-'||SYS_CONTEXT('USERENV','DB_NAME'), 1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'), CON_ID_TO_CON_NAME(P.CON_ID)) AS CONTAINERNAME, P.PROFILE, P.RESOURCE_NAME, P.LIMIT FROM SYS.CDB_PROFILES P WHERE  RESOURCE_NAME='PASSWORD_VERIFY_FUNCTION' AND P.LIMIT = 'NULL' ORDER BY CON_ID, PROFILE, RESOURCE_NAME;",db_query,null,null,TRUE
3.6 Ensure 'PASSWORD_VERIFY_FUNCTION' Is Configured Correctly,"SELECT DECODE(CON_ID,0,'ENTIRE-'||SYS_CONTEXT('USERENV','DB_NAME'), 1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'), CON_ID_TO_CON_NAME(CON_ID)) AS CONTAINERNAME, LINE, TEXT FROM CDB_SOURCE WHERE (CON_ID,NAME) IN ( SELECT DISTINCT CON_ID, LIMIT FROM SYS.CDB_PROFILES WHERE RESOURCE_NAME='PASSWORD_VERIFY_FUNCTION' AND (LIMIT IS NOT NULL OR LIMIT != 'DEFAULT')) ORDER BY CON_ID, NAME, LINE ;",db_query,null,null,TRUE
3.7 Ensure 'PASSWORD_ROLLOVER_TIME' Is set to '0',"SELECT DECODE(P.CON_ID,0,'ENTIRE-'||SYS_CONTEXT('USERENV','DB_NAME'), 1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'), CON_ID_TO_CON_NAME(P.CON_ID)) AS CONTAINERNAME, P.PROFILE, P.RESOURCE_NAME, P.LIMIT FROM SYS.CDB_PROFILES P WHERE  TO_NUMBER(DECODE(P.LIMIT,'DEFAULT',(SELECT LIMIT FROM CDB_PROFILES WHERE PROFILE='DEFAULT' AND RESOURCE_NAME='PASSWORD_ROLLOVER_TIME' AND CON_ID = P.CON_ID), P.LIMIT)) > 0 AND RESOURCE_NAME='PASSWORD_ROLLOVER_TIME' ORDER BY CON_ID, PROFILE, RESOURCE_NAME;",db_query,null,null,TRUE
3.8 Ensure 'INACTIVE_ACCOUNT_TIME' Is Less than or Equal to '120',"SELECT DECODE(P.CON_ID,0,'ENTIRE-'||SYS_CONTEXT('USERENV','DB_NAME'), 1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'), CON_ID_TO_CON_NAME(P.CON_ID)) AS CONTAINERNAME, P.PROFILE, P.RESOURCE_NAME, P.LIMIT FROM SYS.CDB_PROFILES P WHERE RESOURCE_NAME='INACTIVE_ACCOUNT_TIME' AND TO_NUMBER(DECODE(P.LIMIT, 'DEFAULT',(SELECT DECODE(LIMIT,'UNLIMITED',9999,LIMIT) FROM CDB_PROFILES WHERE PROFILE='DEFAULT' AND RESOURCE_NAME='INACTIVE_ACCOUNT_TIME' AND CON_ID = P.CON_ID), 'UNLIMITED',9999, P.LIMIT)) > 120 ORDER BY CON_ID, PROFILE, RESOURCE_NAME;",db_query,null,null,TRUE
4.1 Ensure All Default Passwords Are Changed,"SELECT DECODE(C.CON_ID,0,'ENTIRE-'||SYS_CONTEXT('USERENV','DB_NAME'), 1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'), CON_ID_TO_CON_NAME(C.CON_ID)) AS CONTAINERNAME, A.USERNAME, C.ACCOUNT_STATUS FROM CDB_USERS_WITH_DEFPWD A, CDB_USERS C WHERE A.USERNAME = C.USERNAME ORDER BY C.CON_ID;",db_query,null,null,TRUE
4.2 Ensure No Custom 'ORACLE_MAINTAINED' Users Exist ,"SELECT CON_ID_TO_CON_NAME(C.CON_ID) AS CONTAINERNAME,USERNAME, FROM CDB_USERS C WHERE ORACLE_MAINTAINED = 'Y' AND USERNAME NOT IN ( 'ANONYMOUS', 'APEX_LISTENER', 'APEX_PUBLIC_USER','APEX_REST_PUBLIC_USER', 'APEX_230200', 'APEX_240100', 'APEX_PUBLIC_ROUTER', 'APPQOSSYS','AUDSYS', 'CTXSYS', 'DBSFWUSER', 'DBSNMP', 'DGPDB_INT', 'DIP', 'DVF', 'DVSYS', 'FLOWS_FILES', 'GGSHAREDCAP', 'GGSYS', 'GSMADMIN_INTERNAL', 'GSMCATUSER', 'GSMROOTUSER', 'GSMUSER', 'LBACSYS', 'MDDATA', 'MDSYS', 'OJVMSYS', 'OLAPSYS', 'OUTLN', 'REMOTE_SCHEDULER_AGENT', 'SYS', 'SYSBACKUP', 'SYSDG', 'SYSKM', 'SYSRAC', 'SYSTEM', 'SYS$UMF', 'VECSYS', 'WMSYS', 'XDB', 'XS$NULL' ) ORDER BY 1;",db_query,null,null,TRUE
4.3 Review The Users Created Through Real Application Security,"SELECT DECODE(C.CON_ID,0,'ENTIRE-'|| SYS_CONTEXT('USERENV','DB_NAME'), 1,'ROOTONLY-'||SYS_CONTEXT('USERENV','DB_NAME'), CON_ID_TO_CON_NAME(C.CON_ID)) AS CONTAINERNAME, C.NAME, C.DIRECT_LOGON_USER, C.STATUS, ACCOUNT_STATUS FROM CDB_XS_USERS C WHERE C.NAME NOT IN ('XSGUEST');",db_query,null,null,TRUE
4.4 Ensure Old Password Versions Are Not Used ,"SELECT DECODE(C.CON_ID, 0, 'ENTIRE-' || SYS_CONTEXT('USERENV','DB_NAME'), 1, 'ROOTONLY-' || SYS_CONTEXT('USERENV','DB_NAME'), CON_ID_TO_CON_NAME(C.CON_ID)) AS CONTAINERNAME, C.USERNAME, C.PASSWORD_VERSIONS FROM CDB_USERS C WHERE C.PASSWORD_VERSIONS NOT IN ('12C') ORDER BY C.CON_ID;",db_query,null,null,TRUE
4.5 Ensure The Latest Version of The Password File Is Used ,"SELECT inst_id,format FROM GV$PASSWORDFILE_INFO WHERE FORMAT !='12.2';",db_query,null,null,TRUE
4.6 Ensure That Users In Different RAC Instances Are Identical In PW Files,SELECT * FROM GV$PWFILE_USERS;,db_query,null,null,TRUE
4.7 Ensure No Public Database Links Exist,"SELECT DECODE(V.CON_ID, 0, 'ENTIRE-' || SYS_CONTEXT('USERENV','DB_NAME'), 1, 'ROOTONLY-' || SYS_CONTEXT('USERENV','DB_NAME'), CON_ID_TO_CON_NAME(V.CON_ID)) AS CONTAINERNAME, DB_LINK, HOST FROM CDB_DB_LINKS V WHERE OWNER = 'PUBLIC';",db_query,null,null,TRUE
4.8 Ensure That Database Link Passwords Are Using The Latest Encryption,"SELECT DECODE(v.con_id, 0, 'Entire-' || SYS_CONTEXT('USERENV', 'DB_NAME'), 1, 'RootOnly-' || SYS_CONTEXT('USERENV', 'DB_NAME'), CON_ID_TO_CON_NAME(v.con_id)) AS container_name, name AS db_link, host, userid FROM CONTAINERS(""SYS"".""LINK$"") v WHERE passwordx IS NOT NULL;",db_query,null,null,TRUE
5.1 Ensure All Auditable System Actions Commands Are Audited,"WITH PRIVS(PRIVILEGE) AS ( SELECT DISTINCT A.PRIVILEGE AS NAME FROM DBA_SYS_PRIVS A WHERE A.PRIVILEGE NOT IN (SELECT NAME FROM AUDITABLE_SYSTEM_ACTIONS WHERE COMPONENT='Standard') AND PRIVILEGE NOT IN ('INHERIT ANY PRIVILEGES') UNION SELECT A.NAME FROM AUDITABLE_SYSTEM_ACTIONS A WHERE COMPONENT='Standard' AND A.NAME NOT IN ('ALL','SELECT','DELETE','INSERT','UPDATE','EXECUTE','LOGON','LOGOFF') ), CIS_AUDIT(CONTAINERNAME, CON_ID, AUDIT_OPTION) AS( SELECT C.NAME, C.CON_ID, LL.PRIVILEGE FROM V$CONTAINERS C, PRIVS LL WHERE C.OPEN_MODE='READ WRITE' ), AUDIT_ENABLED AS ( SELECT DISTINCT AUD.CON_ID, AUDIT_OPTION FROM CONTAINERS(AUDIT_UNIFIED_POLICIES) AUD WHERE AUD.AUDIT_OPTION IN (SELECT PRIVILEGE FROM PRIVS ) AND AUD.AUDIT_OPTION_TYPE IN ('SYSTEM PRIVILEGE','STANDARD ACTION') AND EXISTS (SELECT ENABLED.* FROM CONTAINERS(AUDIT_UNIFIED_ENABLED_POLICIES) ENABLED WHERE ENABLED.SUCCESS = 'YES' AND ENABLED.FAILURE = 'YES' AND ENABLED.ENABLED_OPTION = 'BY USER' AND ENABLED.ENTITY_NAME = 'ALL USERS' AND ENABLED.POLICY_NAME = AUD.POLICY_NAME AND ENABLED.CON_ID = AUD.CON_ID) ) SELECT C.CONTAINERNAME, C.AUDIT_OPTION FROM CIS_AUDIT C LEFT JOIN AUDIT_ENABLED E ON C.AUDIT_OPTION = E.AUDIT_OPTION AND E.CON_ID = C.CON_ID WHERE E.AUDIT_OPTION IS NULL ORDER BY 1, 2;",db_query,null,null,TRUE
5.2 Ensure the 'LOGON' AND 'LOGOFF' Actions Audit Is Enabled,"WITH CIS_AUDIT(CONTAINERNAME, CON_ID, AUDIT_OPTION) AS( SELECT C.NAME, C.CON_ID, LL.* FROM V$CONTAINERS C, TABLE(DBMSOUTPUT_LINESARRAY('LOGON','LOGOFF')) LL WHERE C.OPEN_MODE='READ WRITE' ), AUDIT_ENABLED AS ( SELECT DISTINCT AUD.CON_ID, AUDIT_OPTION FROM CONTAINERS(AUDIT_UNIFIED_POLICIES) AUD WHERE AUD.AUDIT_OPTION IN ('LOGON','LOGOFF') AND AUD.AUDIT_OPTION_TYPE = 'STANDARD ACTION' AND EXISTS (SELECT ENABLED.* FROM CONTAINERS(AUDIT_UNIFIED_ENABLED_POLICIES) ENABLED WHERE ENABLED.SUCCESS = 'YES' AND ENABLED.FAILURE = 'YES' AND ENABLED.ENABLED_OPTION = 'BY USER' AND ENABLED.ENTITY_NAME = 'ALL USERS' AND ENABLED.POLICY_NAME = AUD.POLICY_NAME AND ENABLED.CON_ID = AUD.CON_ID) ) SELECT C.CONTAINERNAME, C.AUDIT_OPTION FROM CIS_AUDIT C LEFT JOIN AUDIT_ENABLED E ON C.AUDIT_OPTION = E.AUDIT_OPTION AND E.CON_ID = C.CON_ID WHERE E.AUDIT_OPTION IS NULL ORDER BY 1, 2;",db_query,null,null,TRUE
5.3 Ensure Critical Packages Are Audited,"WITH CIS_AUDIT(NAME, CON_ID, AUDIT_OBJECT_NAME) AS( SELECT C.NAME, C.CON_ID, LL.* FROM V$CONTAINERS C, TABLE(DBMSOUTPUT_LINESARRAY('DBMS_AW','DBMS_CRYPTO','DBMS_FGA', 'DBMS_JAVA_TEST','DBMS_JOB','DBMS_LOGMNR', 'DBMS_NETWORK_ACL_ADMIN','DBMS_REDACT','DBMS_REDEFINITION','DBMS_RLS', 'DBMS_SCHEDULER','DBMS_SQL_TRANSLATOR','DBMS_SYS_SQL','DBMS_TSDP_MANAGE', 'DBMS_TSDP_PROTECT','DBMS_XMLGEN','DBMS_XMLSTORE','OWA_UTIL') ) LL WHERE C.OPEN_MODE='READ WRITE' ), AUDIT_ENABLED AS ( SELECT DISTINCT CON_ID_TO_CON_NAME(AUD.CON_ID) AS CONTAINERNAME, AUDIT_OPTION, AUD.OBJECT_NAME, AUD.POLICY_NAME, AUD.CON_ID FROM CONTAINERS(AUDIT_UNIFIED_POLICIES) AUD WHERE AUD.OBJECT_NAME IN ('DBMS_AW','DBMS_CRYPTO','DBMS_FGA','DBMS_JAVA_TEST','DBMS_JOB','DBMS_LOGMNR' , 'DBMS_NETWORK_ACL_ADMIN','DBMS_REDACT','DBMS_REDEFINITION','DBMS_RLS', 'DBMS_SCHEDULER','DBMS_SQL_TRANSLATOR','DBMS_SYS_SQL','DBMS_TSDP_MANAGE', 'DBMS_TSDP_PROTECT','DBMS_XMLGEN','DBMS_XMLSTORE','OWA_UTIL') AND AUD.AUDIT_OPTION_TYPE = 'OBJECT ACTION' AND EXISTS (SELECT CON_ID_TO_CON_NAME(ENABLED.CON_ID) AS CONTAINERNAME, ENABLED.* FROM CONTAINERS(AUDIT_UNIFIED_ENABLED_POLICIES) ENABLED WHERE ENABLED.SUCCESS = 'YES' AND ENABLED.FAILURE = 'YES' AND ENABLED.ENABLED_OPTION = 'BY USER' AND ENABLED.ENTITY_NAME = 'ALL USERS' AND ENABLED.POLICY_NAME = AUD.POLICY_NAME AND ENABLED.CON_ID = AUD.CON_ID) ) SELECT C.NAME, C.AUDIT_OBJECT_NAME FROM CIS_AUDIT C LEFT JOIN AUDIT_ENABLED E ON C.AUDIT_OBJECT_NAME = E.OBJECT_NAME AND E.CON_ID = C.CON_ID WHERE E.OBJECT_NAME IS NULL ORDER BY 1, 2;",db_query,null,null,TRUE
5.4 Ensure All Export Activities Are Audited,"WITH CIS_AUDIT(NAME, CON_ID, AUDIT_OPTION) AS( SELECT C.NAME, C.CON_ID, 'EXPORT' AS AUDIT_OPTION FROM V$CONTAINERS C WHERE C.OPEN_MODE='READ WRITE' ), AUDIT_ENABLED AS ( SELECT DISTINCT CON_ID_TO_CON_NAME(AUD.CON_ID) AS CONTAINERNAME, AUDIT_OPTION, AUD.POLICY_NAME, AUD.CON_ID FROM CONTAINERS(AUDIT_UNIFIED_POLICIES) AUD WHERE AUD.AUDIT_OPTION IN ('EXPORT') AND AUD.AUDIT_OPTION_TYPE = 'DATAPUMP ACTION' AND EXISTS (SELECT CON_ID_TO_CON_NAME(ENABLED.CON_ID) AS CONTAINERNAME, ENABLED.* FROM CONTAINERS(AUDIT_UNIFIED_ENABLED_POLICIES) ENABLED WHERE ENABLED.SUCCESS = 'YES' AND ENABLED.FAILURE = 'YES' AND ENABLED.ENABLED_OPTION = 'BY USER' AND ENABLED.ENTITY_NAME = 'ALL USERS' AND ENABLED.POLICY_NAME = AUD.POLICY_NAME AND ENABLED.CON_ID = AUD.CON_ID) ) SELECT C.NAME, C.AUDIT_OPTION FROM CIS_AUDIT C LEFT JOIN AUDIT_ENABLED E ON C.AUDIT_OPTION = E.AUDIT_OPTION AND E.CON_ID = C.CON_ID WHERE E.AUDIT_OPTION IS NULL ORDER BY 1, 2;",db_query,null,null,TRUE
