Name,Description,Settings,Remediation
4.9 Enable data-at-rest encryption in MariaDB (Automated),"Data-at-rest encryption protects the privacy of your information, prevents data breaches and helps meet regulatory requirements.",ENCRYPTION:,"MariaDB's data-at-rest encryption requires the use of a key management and 
encryption plugin. 
Create the key file: 
$ sudo mkdir -p /etc/mysql/encryption && (echo -n ""1;"" ; openssl rand -hex 32 
) | sudo tee -a  /etc/mysql/encryption/keyfile 
Generate a random encryption password:  
$ sudo openssl rand -hex 128 | sudo tee -a /etc/mysql/encryption/keyfile.key 
Encrypt the key file: 
$ sudo openssl enc -aes-256-cbc -md sha1 \ 
   -pass file:/etc/mysql/encryption/keyfile.key \ 
   -in /etc/mysql/encryption/keyfile \ 
   -out /etc/mysql/encryption/keyfile.enc 
Delete the unencrypted key file: 
$ sudo rm /etc/mysql/encryption/keyfile 
Set permissions and ownership on the keyfile and key: 
$ sudo chown mysql:mysql -R /etc/mysql/encryption 
$ sudo chmod 640 /etc/mysql/encryption/keyfile* 
Edit mariadb.cnf to resemble the following block, optionally uncommenting 
file_key_management_encryption_algorithm = AES_CTR: 
[mariadb] 
... 
plugin_load_add = file_key_management 
file_key_management_filename = /etc/mysql/encryption/keyfile.enc 
file_key_management_filekey = FILE:/etc/mysql/encryption/keyfile.key 
 
# Binary Log Encryption 
encrypt_binlog = ON 
# Redo Log Encryption 
innodb_encrypt_log = ON 
# Encrypting Temporary Files 
encrypt_tmp_files = ON 
# Encrypt Temporary Tables 
innodb_encrypt_temporary_tables = ON 
 
# You can configure InnoDB encryption to automatically have all new InnoDB 
tables automatically encrypted, or specify encrypt per table. 
innodb_encrypt_tables = ON 
 
# Uncomment the line below if utilizing MariaDB built with OpenSSL 
# file_key_management_encryption_algorithm = AES_CTR  
If needed, see References for information about 
file_key_management_encryption_algorithm and OpenSSL usage. 
Restart MariaDB: 
$ sudo systemctl restart mariadb.service 
Run ALTER to enable encryption (Note: This will lock the table as table is encrypted). 
ALTER TABLE tab1 
   ENCRYPTED=YES ENCRYPTION_KEY_ID=1; 
Revisit recommendation 3.10 after completing remediation."
6.1 Ensure 'log_error' is configured correctly (Automated),"The error log contains information about events such as mariadbd starting and stopping, when a table needs to be checked or repaired, and, depending on the host operating system, stack traces when mariadbd fails.",notequals: VARIABLE_VALUE:./stderr.err.,"Perform the following actions to remediate this setting: 
1. Open the MariaDB configuration file (mariadb.cnf). 
2. Set the log_error option to the path for the error log. "
6.2 Ensure Log Files are Stored on a Non-System Partition (Automated),"MariaDB log files can be set in the MariaDB configuration to exist anywhere on the filesystem. It is common practice to ensure that the system filesystem is left uncluttered by application logs. System filesystems include the root (/), /var, or /usr.",notstartswith:value:/var && notstartswith:value:/usr,"Perform the following actions to remediate this setting: 
1. Open the MariaDB configuration file (mariadb.cnf) 
2. Locate the log_bin entry and set it to a file not on root (/), /var, or /usr"
6.3 Ensure 'log_warnings' is Set to '2' (Automated),"The log_warnings system variable, set to 2 by default, specifies the verbosity of events sent to the MariaDB error log. A value of 2 enables logging of error and warning messages, a value of 3 also includes informational logging, a value of 1 logs only errors.",equals:VARIABLE_VALUE:2,"Perform the following actions to remediate this setting: 
• Open the MySQL configuration file (mariadb.cnf) 
• Ensure the following line is found in the mariadbd section 
log_warnings = 2"
6.4 Ensure Audit Logging Is Enabled (Automated),"Enabling audit logging is an important consideration for a production environment, and 
MariaDB plugin exist to help with this. Enable audit logging for 
• Connect events 
• Query and Table events (optional) ","randomcheck:SERVER_AUDIT_LOGGING,SERVER_AUDIT_EVENTS:ON,CONNECT","[mariadb] 
... 
#MariaDB plugin 
plugin_load_add = server_audit 
server_audit_logging=ON 
server_audit_events=CONNECT "
6.5 Ensure the Audit Plugin Can't be Unloaded (Automated),Set server_audit to FORCE_PLUS_PERMANENT,equals:LOAD_OPTION:FORCE_PLUS_PERMANENT ,"To remediate this setting, follow these steps: 
1. Open the MariaDB configuration file (mariadb.cnf) 
2. Ensure the following line is found in the mariadbd section 
server_audit=FORCE_PLUS_PERMANENT "
6.6 Ensure Binary and Relay Logs are Encrypted (Automated),The encrypt_binlog system variable may be used to configure encryption of the binary and relay logs. This may be configured to ON even if binary logging is not enabled in order to encrypt relay log files.,equals:VARIABLE_VALUE:ON,"[mariadb] 
... 
# Binary Log Encryption 
encrypt_binlog=ON"
7.1 Disable use of the mysql_old_password plugin (Automated),"The mysql_old_password plugin uses a cracked password routine with several flaws. It is present but not used by default in MariaDB. Steps should be taken to ensure that passwords will not be created with this plugin and that clients will not be able to authenticate to the MariaDB server using this plugin. The old_passwords system variable controls whether MariaDB server uses the mysql_old_password plugin (instead of the stronger mysql_native_password plugin) when creating passwords. The secure_auth system variable, when enabled, will block client connections that utilize the mysql_old_password plugin.","randomcheck:OLD_PASSWORDS,SECURE_AUTH:OFF,ON","If old_passwords was ON, add the following line to the [mariadbd] section in 
mariadb.cnf: 
old_passwords=0 
If 'secure_authwasOFF, add the following line to the [mariadbd]section 
inmariadb.cnf`: 
secure_auth=ON 
Restart MariaDB. "
7.3 Ensure strong authentication is utilized for all accounts (Automated),"The mysql_native_password and mysql_old_password plugins utilize weak cryptography and/or weak password routines. In particular, the mysql_old_password plugin utilizes cracked password routines and is subject to Pass-the-Hash attacks. The mysql_native_password plugin relies on the Secure Hash Algorithm 1 (SHA-1) algorithm. The National Institute of Standards and Technology (NIST) recommends against use of SHA-1. Additionally, these plugins allow users to set blank passwords, which allow authentication without providing a password. All users should be using alternative, stronger plugins or be configured with invalid passwords. See Default Value section and References for more details on specific account configurations.",equals:,"If the root user is returned in the audit procedure results, set that account to utilize only 
the unix_socket plugin by running the following mariadb command: 
alter user 'root'@'localhost' identified via 'unix_socket'; 
If the mysql user is returned in the audit procedure results, set that account to use an 
invalid password by running the following mariadb command: 
set password for 'mysql'@'localhost' = 'invalid'; 
If the mariadb.sys user is returned in the audit procedure results, set that account to 
use an invalid password by running the following mariadb command: 
set password for 'mariadb.sys'@'localhost' = 'invalid'; 
For every other user identified by the audit procedure, use the ALTER USER command to 
configure the account to utilize one of the following authentication plugins as 
appropriate: 
• ed25519 
• gssapi 
• pam 
• unix_socket 
Notes: 
Some of these plugins will require installation if not already in use. Changing a user to 
utilize the ed25519 plugin but without providing a password will make the account 
inaccessible. For service accounts, set a new password in MariaDB and where the 
service account is used. For human user accounts, set a temporary password and notify 
the user to change the password immediately. 
If password validation plugins are already implemented, strict_password_validation 
may need to be temporarily disabled to reset mysql and mariadb.sys accounts to use 
invalid passwords. To do so, run set global strict_password_validation=0; before 
and set global strict_password_validation=1; after the set password commands."
7.4 Ensure Password Complexity Policies are in Place (Automated),"Passwords should be configured with a minimum length of 14 characters and should be checked against dictionaries of common, known, and expected passwords.",PASSWORD:,"Install the password check plugins: 
INSTALL SONAME 'simple_password_check'; 
INSTALL SONAME 'cracklib_password_check'; 
Note A supporting linux distribution package may need to be installed before installing 
the cracklib plugin. Follow installation guidance on the Cracklib Password Check Plugin 
page in the References section. 
Add the following lines to MariaDB configuration files: 
plugin_load_add = simple_password_check 
simple_password_check = FORCE_PLUS_PERMANENT 
simple_password_check_minimal_length = 14 
plugin_load_add = cracklib_password_check 
cracklib_password_check = FORCE_PLUS_PERMANENT 
strict_password_validation = ON 
Consider customizing the password dictionary to include usernames of all MariaDB 
users and any other risky passwords patterns noted in the Audit Procedure. 
Set cracklib_password_check_dictionary if using a customized password dictionary."
7.5 Ensure No Users Have Wildcard Hostnames (Automated),"MariaDB can make use of host wildcards when granting permissions to users on specific databases. For example, you may grant a given privilege to ''@'%'.",equals:,"Perform the following actions to remediate this setting: 
1. Enumerate all users returned after running the audit procedure. 
2. Either ALTER the user's host to be specific or DROP the user."
7.6 Ensure No Anonymous Accounts Exist (Automated),"Anonymous accounts are users with empty usernames (''). Anonymous accounts have no passwords, so anyone can use them to connect to the MariaDB server.",equals:,"Perform the following actions to remediate this setting: 
1. Enumerate the anonymous users returned from executing the audit procedure. 
2. For each anonymous user, DROP or assign them a name. 
Note: As an alternative, you may execute the mariadb-secure-installation utility."
8.1 Ensure 'require_secure_transport' is Set to 'ON' and 'have_ssl' is Set to 'YES' (Automated),All network traffic must use SSL/TLS when traveling over untrusted networks.,"randomcheck:REQUIRE_SECURE_TRANSPORT,HAVE_SSL:ON,YES",require_secure_transport=ON;
"8.2 Ensure 'ssl_type' is Set to 'ANY', 'X509', or 'SPECIFIED' for All Remote Users (Automated)",All network traffic must use SSL/TLS when traveling over untrusted networks. SSL/TLS should be enforced on a per-user basis for users which enter the system through the network.,equals:ssl_type:ANY || equals:ssl_type:X509 || equals:ssl_type:SPECIFIED,"Use the ALTER USER statement to require the use of SSL/TLS: 
ALTER USER 'my_user'@'app1.example.com' REQUIRE SSL; 
Note: REQUIRE SSL only enforces TLS. There are additional options REQUIRE X509, 
REQUIRE ISSUER, REQUIRE SUBJECT and REQUIRE CIPHER which can be used to further 
restrict the connection."
