CIS.NO,Subject,Description,Current Settings,Status,Remediation
3.3,Ensure 'PASSWORD_LIFE_TIME' Is Less than or Equal to '90' (Scored),The PASSWORD_LIFE_TIME setting determines how long a password may be used before the user is required to be change it. The suggested value for this is 90 days or less.,"[{'PROFILE': 'DEFAULT', 'RESOURCE_NAME': 'PASSWORD_LIFE_TIME', 'LIMIT': '180', 'DATABASE': 'FREE'}, {'PROFILE': 'DEFAULT', 'RESOURCE_NAME': 'PASSWORD_LIFE_TIME', 'LIMIT': '180', 'DATABASE': 'FREEPDB1'}]",FAIL,"Remediate this setting by executing the following SQL statement for each PROFILE returned by the audit procedure. 
ALTER PROFILE LIMIT PASSWORD_LIFE_TIME 90;"
3.4,Ensure 'PASSWORD_REUSE_MAX' Is Greater than or Equal to '20' (Scored),The PASSWORD_REUSE_MAX setting determines how many different passwords must be used before the user is allowed to reuse a prior password. The suggested value for this is 20 passwords or greater,Results are null or empty,PASS,
3.5,Ensure 'PASSWORD_REUSE_TIME' Is Greater than or Equal to '365' (Scored),The PASSWORD_REUSE_TIME setting determines the amount of time in days that must pass before the same password may be reused. The suggested value for this is 365 days or greater.,Results are null or empty,PASS,
3.6,Ensure 'PASSWORD_GRACE_TIME' Is Less than or Equal to '5' (Scored),The PASSWORD_GRACE_TIME setting determines how many days can pass after the user's password expires before the user's login capability is automatically locked out. The suggested value for this is five days or less.,"[{'PROFILE': 'DEFAULT', 'RESOURCE_NAME': 'PASSWORD_GRACE_TIME', 'LIMIT': '7', 'DATABASE': 'FREE'}, {'PROFILE': 'DEFAULT', 'RESOURCE_NAME': 'PASSWORD_GRACE_TIME', 'LIMIT': '7', 'DATABASE': 'FREEPDB1'}]",FAIL,"Remediate this setting by executing the following SQL statement for each PROFILE returned by the audit procedure. 
ALTER PROFILE LIMIT PASSWORD_GRACE_TIME 5;"
3.7,Ensure 'PASSWORD_VERIFY_FUNCTION' Is Set for All Profiles (Scored),The PASSWORD_VERIFY_FUNCTION determines password settings requirements when a user password is changed at the SQL command prompt. It should be set for all profiles. Note that this setting does not apply for users managed by the Oracle password file.,"[{'PROFILE': 'DEFAULT', 'RESOURCE_NAME': 'PASSWORD_VERIFY_FUNCTION', 'LIMIT': 'NULL', 'DATABASE': 'FREE'}, {'PROFILE': 'DEFAULT', 'RESOURCE_NAME': 'PASSWORD_VERIFY_FUNCTION', 'LIMIT': 'NULL', 'DATABASE': 'FREEPDB1'}]",FAIL,Remediation: Create a custom password verification function which fulfills the password requirements of the organization.
3.8,Ensure 'SESSIONS_PER_USER' Is Less than or Equal to '10' (Scored),The SESSIONS_PER_USER setting determines the maximum number of user sessions that are allowed to be open concurrently. The suggested value for this is 10 or less.,"[{'PROFILE': 'DEFAULT', 'RESOURCE_NAME': 'SESSIONS_PER_USER', 'LIMIT': 'UNLIMITED', 'DATABASE': 'FREE'}, {'PROFILE': 'DEFAULT', 'RESOURCE_NAME': 'SESSIONS_PER_USER', 'LIMIT': 'UNLIMITED', 'DATABASE': 'FREEPDB1'}]",FAIL,"To remediate this setting, execute the following SQL statement for each PROFILE returned by the audit procedure. 
ALTER PROFILE LIMIT SESSIONS_PER_USER 10;"
3.9,Ensure 'INACTIVE_ACCOUNT_TIME' Is Less than or Equal to '120' (Scored),The 'INACTIVE_ACCOUNT_TIME' setting determines the maximum number of days of inactivity (no logins at all) after which the account will be locked. The suggested value for this is 120 or less.,"[{'PROFILE': 'DEFAULT', 'RESOURCE_NAME': 'INACTIVE_ACCOUNT_TIME', 'LIMIT': '365', 'DATABASE': 'FREE'}, {'PROFILE': 'DEFAULT', 'RESOURCE_NAME': 'INACTIVE_ACCOUNT_TIME', 'LIMIT': '365', 'DATABASE': 'FREEPDB1'}]",FAIL,"To remediate this setting, execute the following SQL statement for each PROFILE returned by the audit procedure. 
ALTER PROFILE LIMIT INACTIVE_ACCOUNT_TIME 10;"
4.1,Ensure All Default Passwords Are Changed (Scored),Default passwords should not be used by Oracle database users.,Results are null or empty,PASS,
4.2,Ensure All Sample Data And Users Have Been Removed (Scored),"Oracle sample schemas can be used to create sample users (BI,HR,IX,OE,PM,SCOTT,SH), with well-known default passwords, particular views, and procedures/functions, in addition to tables and fictitious data. The sample schemas should be removed.",Results are null or empty,PASS,
4.3,Ensure 'DBA_USERS.AUTHENTICATION_TYPE' Is Not Set to 'EXTERNAL' for Any User (Scored),The authentication_type='EXTERNAL' setting determines whether or not a user can be authenticated by a remote OS to allow access to the database with full authorization. This setting should not be used.,Results are null or empty,PASS,
4.4,Ensure No Users Are Assigned the 'DEFAULT' Profile (Scored),Upon creation database users are assigned to the DEFAULT profile unless otherwise specified. No users should be assigned to that profile.,"[{'USERNAME': 'PDBADMIN', 'DB_NAME': 'FREEPDB1'}]",FAIL,"To remediate this recommendation, execute the following SQL statement for each user returned by the audit query using a functional-appropriate profile, keeping in mind if this is granted in both container and pluggable database, you must connect to both places to revoke. 

ALTER USER PROFILE ;"
4.5,Ensure 'SYS.USER$MIG' Has Been Dropped (Scored),The table sys.user$mig is created during migration and contains the Oracle password hashes before the migration starts. This table should be dropped.,Results are null or empty,PASS,
4.6,Ensure No Public Database Links Exist (Scored),Public Database links are used to allow connections between databases.,Results are null or empty,PASS,
5.1.1.1,"Ensure 'EXECUTE' is revoked from 'PUBLIC' on ""Network"" Packages (Scored)","As described below, Oracle Database PL/SQL ""Network"" packages - DBMS_LDAP, UTL_INADDR, UTL_TCP, UTL_MAIL, UTL_SMTP, UTL_DBWS, UTL_ORAMTS, UTL_HTTP and type HTTPURITYPE – provide PL/SQL APIs to interact or access remote servers. The PUBLIC should not be able to execute these packages. UTL_SMTP. • The Oracle database DBMS_LDAP package contains functions and procedures that enable programmers to access data from LDAP servers. • The Oracle database UTL_INADDR package provides an API to retrieve host names and IP addresses of local and remote hosts. • The Oracle database UTL_TCP package can be used to read/write file to TCP sockets on the server where the Oracle instance is installed. • The Oracle database UTL_MAIL package can be used to send email from the server where the Oracle instance is installed. • The Oracle database UTL_SMTP package can be used to send email from the server where the Oracle instance is installed. The user PUBLIC should not be able to execute • The Oracle database UTL_DBWS package can be used to read/write file to web-based applications on the server where the Oracle instance is installed. This package is not automatically installed for security reasons. • The Oracle database UTL_ORAMTS package can be used to perform HTTP requests. This could be used to send information to the outside. • The Oracle database UTL_HTTP package can be used to perform HTTP requests. This could be used to send information to the outside. • The Oracle database HTTPURITYPE object type can be used to perform HTTP requests.","[{'TABLE_NAME': 'UTL_TCP', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREE'}, {'TABLE_NAME': 'UTL_HTTP', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREE'}, {'TABLE_NAME': 'HTTPURITYPE', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREE'}, {'TABLE_NAME': 'UTL_INADDR', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREE'}, {'TABLE_NAME': 'UTL_SMTP', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREE'}, {'TABLE_NAME': 'DBMS_LDAP', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREE'}, {'TABLE_NAME': 'UTL_TCP', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREEPDB1'}, {'TABLE_NAME': 'UTL_HTTP', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREEPDB1'}, {'TABLE_NAME': 'HTTPURITYPE', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREEPDB1'}, {'TABLE_NAME': 'UTL_INADDR', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREEPDB1'}, {'TABLE_NAME': 'UTL_SMTP', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREEPDB1'}, {'TABLE_NAME': 'DBMS_LDAP', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREEPDB1'}]",FAIL,"To remediate this setting, execute the following SQL statement, keeping in mind if this is granted in both container and pluggable database, you must connect to both places to revoke. 

REVOKE EXECUTE ON DBMS_LDAP FROM PUBLIC; 
REVOKE EXECUTE ON UTL_INADDR FROM PUBLIC; 
REVOKE EXECUTE ON UTL_TCP FROM PUBLIC; 
REVOKE EXECUTE ON UTL_MAIL FROM PUBLIC; 
REVOKE EXECUTE ON UTL_SMTP FROM PUBLIC; 
REVOKE EXECUTE ON UTL_DBWS FROM PUBLIC; 
REVOKE EXECUTE ON UTL_ORAMTS FROM PUBLIC; 
REVOKE EXECUTE ON UTL_HTTP FROM PUBLIC; 
REVOKE EXECUTE ON HTTPURITYPE FROM PUBLIC;"
5.1.1.2,"Ensure 'EXECUTE' is revoked from 'PUBLIC' on ""File System"" Packages (Scored)","As described below, Oracle Database PL/SQL ""File System"" packages - DBMS_ADVISOR, DBMS_LOB and UTL_FILE – provide PL/SQL APIs to access files on the servers. The user PUBLIC should not be able to execute these packages. • The Oracle database DBMS_ADVISOR package can be used to write files located on the server where the Oracle instance is installed. The user PUBLIC should not be able to execute DBMS_ADVISOR. • The Oracle database DBMS_LOB package provides subprograms that can manipulate and read/write on BLOB's, CLOB's, NCLOB's, BFILE's, and temporary LOB's. The user PUBLIC should not be able to execute DBMS_LOB. Rationale: • The Oracle database UTL_FILE package can be used to read/write files located on the server where the Oracle instance is installed. The user PUBLIC should not be able to execute UTL_FILE","[{'TABLE_NAME': 'DBMS_LOB', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREE'}, {'TABLE_NAME': 'UTL_FILE', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREE'}, {'TABLE_NAME': 'DBMS_ADVISOR', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREE'}, {'TABLE_NAME': 'DBMS_LOB', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREEPDB1'}, {'TABLE_NAME': 'UTL_FILE', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREEPDB1'}, {'TABLE_NAME': 'DBMS_ADVISOR', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREEPDB1'}]",FAIL,"To remediate this setting, execute the following SQL statement, keeping in mind if this is granted in both container and pluggable database, you must connect to both places to revoke.

REVOKE EXECUTE ON DBMS_ADVISOR FROM PUBLIC; 
REVOKE EXECUTE ON DBMS_LOB FROM PUBLIC; 
REVOKE EXECUTE ON UTL_FILE FROM PUBLIC;"
5.1.1.3,"Ensure 'EXECUTE' is revoked from 'PUBLIC' on ""Encryption"" Packages (Scored)","As described below, Oracle Database PL/SQL ""Encryption"" packages - DBMS_CRYPTO, DBMS_OBFUSCATION_TOOLKIT and DBMS_RANDOM – provide PL/SQL APIs to perform functions related to cryptography. The PUBLIC should not be able to execute these packages. • The DBMS_CRYPTO settings provide a toolset that determines the strength of the encryption algorithm used to encrypt application data and is part of the SYS schema. The DES (56-bit key), 3DES (168-bit key), 3DES-2KEY (112-bit key), AES (128/192/256-bit keys), and RC4 are available. • The DBMS_OBFUSCATION_TOOLKIT provides one of the tools that determine the strength of the encryption algorithm used to encrypt application data and is part of the SYS schema. The DES (56-bit key) and 3DES (168-bit key) are the only two types available. Rationale: • The Oracle database DBMS_RANDOM package is used for generating random numbers but should not be used for cryptographic purposes","[{'TABLE_NAME': 'DBMS_RANDOM', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREE'}, {'TABLE_NAME': 'DBMS_RANDOM', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREEPDB1'}]",FAIL,"To remediate this setting, execute the following SQL statement, keeping in mind if this is granted in both container and pluggable database, you must connect to both places to revoke.

REVOKE EXECUTE ON DBMS_CRYPTO FROM PUBLIC; 
REVOKE EXECUTE ON DBMS_OBFUSCATION_TOOLKIT FROM PUBLIC; 
REVOKE EXECUTE ON DBMS_RANDOM FROM PUBLIC;"
5.1.1.4,"Ensure 'EXECUTE' is revoked from 'PUBLIC' on ""Java"" Packages (Scored)","As described below, Oracle Database PL/SQL ""Java"" packages - DBMS_JAVA and DBMS_JAVA_TEST – provide APIs to run Java classes or grant Java packages. The user PUBLIC should not be able to execute these packages. • The Oracle database DBMS_JAVA package can run Java classes (e.g. OS commands) or grant Java privileges. The user PUBLIC should not be able to execute DBMS_JAVA. • The Oracle database DBMS_JAVA_TEST package can run Java classes (e.g. OS commands) or grant Java privileges. The user PUBLIC should not be able to execute DBMS_JAVA_TEST.","[{'TABLE_NAME': 'DBMS_JAVA', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DATABASE': 'FREE'}, {'TABLE_NAME': 'DBMS_JAVA', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DATABASE': 'FREEPDB1'}]",FAIL,"To remediate this setting, execute the following SQL statement, keeping in mind if this is granted in both container and pluggable database, you must connect to both places to revoke. 

REVOKE EXECUTE ON DBMS_JAVA FROM PUBLIC; 
REVOKE EXECUTE ON DBMS_JAVA_TEST FROM PUBLIC;"
5.1.1.5,"Ensure 'EXECUTE' is revoked from 'PUBLIC' on ""Job Scheduler"" Packages (Scored)","As described below, Oracle Database PL/SQL ""Job Scheduler"" packages - DBMS_SCHEDULER and DBMS_JOB – provide APIs to schedule jobs. The user PUBLIC should not be able to execute these packages. • The Oracle database DBMS_SCHEDULER package schedules and manages the database and operating system jobs. The user PUBLIC should not be able to execute DBMS_SCHEDULER. • The Oracle database DBMS_JOB package schedules and manages the jobs sent to the job queue and has been superseded by the DBMS_SCHEDULER package, even though DBMS_JOB has been retained for backwards compatibility. The user PUBLIC should not be able to execute DBMS_JOB.","[{'TABLE_NAME': 'DBMS_SCHEDULER', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREE'}, {'TABLE_NAME': 'DBMS_JOB', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREE'}, {'TABLE_NAME': 'DBMS_SCHEDULER', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREEPDB1'}, {'TABLE_NAME': 'DBMS_JOB', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREEPDB1'}]",FAIL,"To remediate this setting, execute the following SQL statement, keeping in mind if this is granted in both container and pluggable database, you must connect to both places to revoke. 

REVOKE EXECUTE ON DBMS_JOB FROM PUBLIC; 
REVOKE EXECUTE ON DBMS_SCHEDULER FROM PUBLIC;"
5.1.1.6,"Ensure 'EXECUTE' is revoked from 'PUBLIC' on ""SQL Injection Helper"" Packages (Scored)","As described below, Oracle Database PL/SQL ""SQL Injection Helper Packages"" packages - DBMS_SQL, DBMS_XMLGEN, DBMS_XMLQUERY, DBMS_XLMSTORE, DBMS_XLMSAVE and DBMS_REDACT – provide APIs to schedule jobs. The user PUBLIC should not be able to execute these packages. • The Oracle database DBMS_SQL package is used for running dynamic SQL statements. • The DBMS_XMLGEN package takes an arbitrary SQL query as input, converts it to XML format, and returns the result as a CLOB. • The Oracle package DBMS_XMLQUERY takes an arbitrary SQL query, converts it to XML format, and returns the result. This package is similar to DBMS_XMLGEN. Rationale: • The DBMS_XLMSTORE package provides XML functionality. It accepts a table name and XML as input to perform DML operations against the table. • The DBMS_XLMSAVE package provides XML functionality. It accepts a table name and XML as input and then inserts into or updates that table. • The DBMS_REDACT package provides an interface to Oracle Data Redaction, which enables you to mask (redact) data that is returned from queries issued by low privileged users or an application","[{'TABLE_NAME': 'DBMS_SQL', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREE'}, {'TABLE_NAME': 'DBMS_XMLGEN', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREE'}, {'TABLE_NAME': 'DBMS_XMLSTORE', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREE'}, {'TABLE_NAME': 'DBMS_AW', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREE'}, {'TABLE_NAME': 'OWA_UTIL', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREE'}, {'TABLE_NAME': 'DBMS_XMLQUERY', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREE'}, {'TABLE_NAME': 'DBMS_XMLSAVE', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREE'}, {'TABLE_NAME': 'DBMS_SQL', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREEPDB1'}, {'TABLE_NAME': 'DBMS_XMLGEN', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREEPDB1'}, {'TABLE_NAME': 'DBMS_XMLSTORE', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREEPDB1'}, {'TABLE_NAME': 'DBMS_AW', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREEPDB1'}, {'TABLE_NAME': 'OWA_UTIL', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREEPDB1'}, {'TABLE_NAME': 'DBMS_XMLQUERY', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREEPDB1'}, {'TABLE_NAME': 'DBMS_XMLSAVE', 'PRIVILEGE': 'EXECUTE', 'GRANTEE': 'PUBLIC', 'DB_NAME': 'FREEPDB1'}]",FAIL,"To remediate this setting, execute the following SQL statement, keeping in mind if this is granted in both container and pluggable database, you must connect to both places to revoke.

REVOKE EXECUTE ON DBMS_SQL FROM PUBLIC; 
REVOKE EXECUTE ON DBMS_XMLGEN FROM PUBLIC; 
REVOKE EXECUTE ON DBMS_XMLQUERY FROM PUBLIC; 
REVOKE EXECUTE ON DBMS_XMLSAVE FROM PUBLIC; 
REVOKE EXECUTE ON DBMS_XMLSTORE FROM PUBLIC; 
REVOKE EXECUTE ON DBMS_AW FROM PUBLIC; 
REVOKE EXECUTE ON OWA_UTIL FROM PUBLIC; 
REVOKE EXECUTE ON DBMS_REDACT FROM PUBLIC;"
5.1.2,Non-Default Privileges,"The packages described in this control are not granted to PUBLIC by default (""Non-default"" packages). These packages should not be granted to PUBLIC. • The Oracle database DBMS_BACKUP_RESTORE package is used for applying PL/SQL commands to the native RMAN sequences. • The Oracle database DBMS_FILE_TRANSFER package allows a user to transfer files from one database server to another. packages are shipped as undocumented. Rationale: • The Oracle database DBMS_SYS_SQL, DBMS_AQADM_SYSCALLS, DBMS_REPCAT_SQL_UTL, INITJVMAUX, DBMS_STREAMS_ADM_UTL, DBMS_AQADM_SYS, DBMS_STREAMS_RPC, DBMS_PRVTAQIM, LTADM, WWV_DBMS_SQL, WWV_EXECUTE_IMMEDIATE and DBMS_IJOB",Results are null or empty,PASS,
5.1.3.1,Ensure 'ALL' Is Revoked from Unauthorized 'GRANTEE' on 'AUD$' (Scored),"The Oracle database SYS.AUD$ table contains all the audit records for the database of the non-Data Manipulation Language (DML) events, such as ALTER, DROP, and CREATE, and so forth. (DML changes need trigger-based audit events to record data alterations.) Unauthorized grantees should not have full access to that table.",Results are null or empty,PASS,
5.1.3.2,Ensure 'ALL' Is Revoked from Unauthorized 'GRANTEE' on 'DBA_%' (Scored),The Oracle database DBA_ views show all information which is relevant to administrative accounts. Unauthorized grantees should not have full access to those views,Results are null or empty,PASS,
