name,expected_value,comparison_type,field_to_check,description
"2.2.11 Ensure 'SEC_CASE_SENSITIVE_LOGON' Is Set to 'TRUE' (Scored)			",TRUE,equals,VALUE,The SEC_CASE_SENSITIVE_LOGON information determines whether or not case-sensitivity is required for passwords during login.
"2.2.12 Ensure 'SEC_MAX_FAILED_LOGIN_ATTEMPTS' Is '3' or Less (Scored)			",3,max_value,VALUE,The SEC_MAX_FAILED_LOGIN_ATTEMPTS parameter determines how many failed login attempts are allowed before Oracle closes the login connection.
"2.2.13 Ensure 'SEC_PROTOCOL_ERROR_FURTHER_ACTION' Is Set to 'DROP,3' (Scored)			","(DROP,3)",equals,VALUE,"The SEC_PROTOCOL_ERROR_FURTHER_ACTION setting determines the Oracle server's response to bad/malformed packets received from the client. This setting should have a value of DROP,3, which will cause a connection to be dropped after three bad/malformed packets"
"2.2.14 Ensure 'SEC_PROTOCOL_ERROR_TRACE_ACTION' Is Set to 'LOG' (Scored)			",LOG,equals,VALUE,"The SEC_PROTOCOL_ERROR_TRACE_ACTION setting determines the Oracle's server's logging response level to bad/malformed packets received from the client by generating ALERT, LOG, or TRACE levels of detail in the log files. This setting should have a value of LOG unless the organization has a compelling reason to use a different value because LOG should cause the necessary information to be logged. Setting the value as TRACE can generate an enormous amount of log output and should be reserved for debugging only."
"2.2.15 Ensure 'SEC_RETURN_SERVER_RELEASE_BANNER' Is Set to 'FALSE' (Scored)			",FALSE,equals,VALUE,The information about patch/update release number provides information about the exact patch/update release that is currently running on the database. This is sensitive information that should not be revealed to anyone who requests it.
"2.2.16 Ensure 'SQL92_SECURITY' Is Set to 'TRUE' (Scored)			",TRUE,equals,VALUE,The SQL92_SECURITY parameter setting TRUE requires that a user must also be granted the SELECT object privilege before being able to perform UPDATE or DELETE operations on tables that have WHERE or SET clauses. The setting should have a value of TRUE
"2.2.17 Ensure '_trace_files_public' Is Set to 'FALSE' (Scored)			",FALSE,equals,VALUE,The _trace_files_public setting determines whether or not the system's trace file is world readable. This setting should have a value of FALSE to restrict trace file access.
"2.2.18 Ensure 'RESOURCE_LIMIT' Is Set to 'TRUE' (Scored)			",TRUE,equals,VALUE,RESOURCE_LIMIT determines whether resource limits are enforced in database profiles. This setting should have a value of TRUE.
"3.1 Ensure 'FAILED_LOGIN_ATTEMPTS' Is Less than or Equal to '5' (Scored)			",null,equals,null,"The FAILED_LOGIN_ATTEMPTS setting determines how many failed login attempts are permitted before the system locks the user's account. While different profiles can have different and more restrictive settings, such as USERS and APPS, the minimum(s) recommended here should be set on the DEFAULT profile."
"3.2 Ensure 'PASSWORD_LOCK_TIME' Is Greater than or Equal to '1' (Scored)			",null,equals,null,The PASSWORD_LOCK_TIME setting determines how many days must pass for the user's account to be unlocked after the set number of failed login attempts has occurred. The suggested value for this is one day or greater.
"3.3 Ensure 'PASSWORD_LIFE_TIME' Is Less than or Equal to '90' (Scored)			",null,equals,null,The PASSWORD_LIFE_TIME setting determines how long a password may be used before the user is required to be change it. The suggested value for this is 90 days or less.
"3.4 Ensure 'PASSWORD_REUSE_MAX' Is Greater than or Equal to '20' (Scored)			",null,equals,null,The PASSWORD_REUSE_MAX setting determines how many different passwords must be used before the user is allowed to reuse a prior password. The suggested value for this is 20 passwords or greater
"3.5 Ensure 'PASSWORD_REUSE_TIME' Is Greater than or Equal to '365' (Scored)			",null,equals,null,The PASSWORD_REUSE_TIME setting determines the amount of time in days that must pass before the same password may be reused. The suggested value for this is 365 days or greater.
"3.6 Ensure 'PASSWORD_GRACE_TIME' Is Less than or Equal to '5' (Scored)			",null,equals,null,The PASSWORD_GRACE_TIME setting determines how many days can pass after the user's password expires before the user's login capability is automatically locked out. The suggested value for this is five days or less.
"3.7 Ensure 'PASSWORD_VERIFY_FUNCTION' Is Set for All Profiles (Scored)			",null,equals,null,The PASSWORD_VERIFY_FUNCTION determines password settings requirements when a user password is changed at the SQL command prompt. It should be set for all profiles. Note that this setting does not apply for users managed by the Oracle password file.
"3.8 Ensure 'SESSIONS_PER_USER' Is Less than or Equal to '10' (Scored)			",null,equals,null,The SESSIONS_PER_USER setting determines the maximum number of user sessions that are allowed to be open concurrently. The suggested value for this is 10 or less.
"3.9 Ensure 'INACTIVE_ACCOUNT_TIME' Is Less than or Equal to '120' (Scored)			",null,equals,null,The 'INACTIVE_ACCOUNT_TIME' setting determines the maximum number of days of inactivity (no logins at all) after which the account will be locked. The suggested value for this is 120 or less.
"4.1 Ensure All Default Passwords Are Changed (Scored)			",null,equals,null,Default passwords should not be used by Oracle database users.
"4.2 Ensure All Sample Data And Users Have Been Removed (Scored)			",null,equals,null,"Oracle sample schemas can be used to create sample users (BI,HR,IX,OE,PM,SCOTT,SH), with well-known default passwords, particular views, and procedures/functions, in addition to tables and fictitious data. The sample schemas should be removed."
"4.3 Ensure 'DBA_USERS.AUTHENTICATION_TYPE' Is Not Set to 'EXTERNAL' for Any User (Scored)			",null,equals,null,The authentication_type='EXTERNAL' setting determines whether or not a user can be authenticated by a remote OS to allow access to the database with full authorization. This setting should not be used.
"4.4 Ensure No Users Are Assigned the 'DEFAULT' Profile (Scored)			",null,equals,null,Upon creation database users are assigned to the DEFAULT profile unless otherwise specified. No users should be assigned to that profile.
"4.5 Ensure 'SYS.USER$MIG' Has Been Dropped (Scored)			",null,equals,null,The table sys.user$mig is created during migration and contains the Oracle password hashes before the migration starts. This table should be dropped.
"4.6 Ensure No Public Database Links Exist (Scored)			",null,equals,null,Public Database links are used to allow connections between databases.
"5.1.1.1 Ensure 'EXECUTE' is revoked from 'PUBLIC' on ""Network"" Packages (Scored)			",null,equals,null,"As described below, Oracle Database PL/SQL ""Network"" packages - DBMS_LDAP, UTL_INADDR, UTL_TCP, UTL_MAIL, UTL_SMTP, UTL_DBWS, UTL_ORAMTS, UTL_HTTP and type HTTPURITYPE – provide PL/SQL APIs to interact or access remote servers. The PUBLIC should not be able to execute these packages. UTL_SMTP. • The Oracle database DBMS_LDAP package contains functions and procedures that enable programmers to access data from LDAP servers. • The Oracle database UTL_INADDR package provides an API to retrieve host names and IP addresses of local and remote hosts. • The Oracle database UTL_TCP package can be used to read/write file to TCP sockets on the server where the Oracle instance is installed. • The Oracle database UTL_MAIL package can be used to send email from the server where the Oracle instance is installed. • The Oracle database UTL_SMTP package can be used to send email from the server where the Oracle instance is installed. The user PUBLIC should not be able to execute • The Oracle database UTL_DBWS package can be used to read/write file to web-based applications on the server where the Oracle instance is installed. This package is not automatically installed for security reasons. • The Oracle database UTL_ORAMTS package can be used to perform HTTP requests. This could be used to send information to the outside. • The Oracle database UTL_HTTP package can be used to perform HTTP requests. This could be used to send information to the outside. • The Oracle database HTTPURITYPE object type can be used to perform HTTP requests."
"5.1.1.2 Ensure 'EXECUTE' is revoked from 'PUBLIC' on ""File System"" Packages (Scored)			",null,equals,null,"As described below, Oracle Database PL/SQL ""File System"" packages - DBMS_ADVISOR, DBMS_LOB and UTL_FILE – provide PL/SQL APIs to access files on the servers. The user PUBLIC should not be able to execute these packages. • The Oracle database DBMS_ADVISOR package can be used to write files located on the server where the Oracle instance is installed. The user PUBLIC should not be able to execute DBMS_ADVISOR. • The Oracle database DBMS_LOB package provides subprograms that can manipulate and read/write on BLOB's, CLOB's, NCLOB's, BFILE's, and temporary LOB's. The user PUBLIC should not be able to execute DBMS_LOB. Rationale: • The Oracle database UTL_FILE package can be used to read/write files located on the server where the Oracle instance is installed. The user PUBLIC should not be able to execute UTL_FILE"
"5.1.1.3 Ensure 'EXECUTE' is revoked from 'PUBLIC' on ""Encryption"" Packages (Scored)			",null,equals,null,"As described below, Oracle Database PL/SQL ""Encryption"" packages - DBMS_CRYPTO, DBMS_OBFUSCATION_TOOLKIT and DBMS_RANDOM – provide PL/SQL APIs to perform functions related to cryptography. The PUBLIC should not be able to execute these packages. • The DBMS_CRYPTO settings provide a toolset that determines the strength of the encryption algorithm used to encrypt application data and is part of the SYS schema. The DES (56-bit key), 3DES (168-bit key), 3DES-2KEY (112-bit key), AES (128/192/256-bit keys), and RC4 are available. • The DBMS_OBFUSCATION_TOOLKIT provides one of the tools that determine the strength of the encryption algorithm used to encrypt application data and is part of the SYS schema. The DES (56-bit key) and 3DES (168-bit key) are the only two types available. Rationale: • The Oracle database DBMS_RANDOM package is used for generating random numbers but should not be used for cryptographic purposes"
"5.1.1.4 Ensure 'EXECUTE' is revoked from 'PUBLIC' on ""Java"" Packages (Scored)			",null,equals,null,"As described below, Oracle Database PL/SQL ""Java"" packages - DBMS_JAVA and DBMS_JAVA_TEST – provide APIs to run Java classes or grant Java packages. The user PUBLIC should not be able to execute these packages. • The Oracle database DBMS_JAVA package can run Java classes (e.g. OS commands) or grant Java privileges. The user PUBLIC should not be able to execute DBMS_JAVA. • The Oracle database DBMS_JAVA_TEST package can run Java classes (e.g. OS commands) or grant Java privileges. The user PUBLIC should not be able to execute DBMS_JAVA_TEST."
"5.1.1.5 Ensure 'EXECUTE' is revoked from 'PUBLIC' on ""Job Scheduler"" Packages (Scored)			",null,equals,null,"As described below, Oracle Database PL/SQL ""Job Scheduler"" packages - DBMS_SCHEDULER and DBMS_JOB – provide APIs to schedule jobs. The user PUBLIC should not be able to execute these packages. • The Oracle database DBMS_SCHEDULER package schedules and manages the database and operating system jobs. The user PUBLIC should not be able to execute DBMS_SCHEDULER. • The Oracle database DBMS_JOB package schedules and manages the jobs sent to the job queue and has been superseded by the DBMS_SCHEDULER package, even though DBMS_JOB has been retained for backwards compatibility. The user PUBLIC should not be able to execute DBMS_JOB."
"5.1.1.6 Ensure 'EXECUTE' is revoked from 'PUBLIC' on ""SQL Injection Helper"" Packages (Scored)			",null,equals,null,"As described below, Oracle Database PL/SQL ""SQL Injection Helper Packages"" packages - DBMS_SQL, DBMS_XMLGEN, DBMS_XMLQUERY, DBMS_XLMSTORE, DBMS_XLMSAVE and DBMS_REDACT – provide APIs to schedule jobs. The user PUBLIC should not be able to execute these packages. • The Oracle database DBMS_SQL package is used for running dynamic SQL statements. • The DBMS_XMLGEN package takes an arbitrary SQL query as input, converts it to XML format, and returns the result as a CLOB. • The Oracle package DBMS_XMLQUERY takes an arbitrary SQL query, converts it to XML format, and returns the result. This package is similar to DBMS_XMLGEN. Rationale: • The DBMS_XLMSTORE package provides XML functionality. It accepts a table name and XML as input to perform DML operations against the table. • The DBMS_XLMSAVE package provides XML functionality. It accepts a table name and XML as input and then inserts into or updates that table. • The DBMS_REDACT package provides an interface to Oracle Data Redaction, which enables you to mask (redact) data that is returned from queries issued by low privileged users or an application"
"5.1.2 Non-Default Privileges			",null,equals,null,"The packages described in this control are not granted to PUBLIC by default (""Non-default"" packages). These packages should not be granted to PUBLIC. • The Oracle database DBMS_BACKUP_RESTORE package is used for applying PL/SQL commands to the native RMAN sequences. • The Oracle database DBMS_FILE_TRANSFER package allows a user to transfer files from one database server to another. packages are shipped as undocumented. Rationale: • The Oracle database DBMS_SYS_SQL, DBMS_AQADM_SYSCALLS, DBMS_REPCAT_SQL_UTL, INITJVMAUX, DBMS_STREAMS_ADM_UTL, DBMS_AQADM_SYS, DBMS_STREAMS_RPC, DBMS_PRVTAQIM, LTADM, WWV_DBMS_SQL, WWV_EXECUTE_IMMEDIATE and DBMS_IJOB"
"5.1.3.1 Ensure 'ALL' Is Revoked from Unauthorized 'GRANTEE' on 'AUD$' (Scored)			",null,equals,null,"The Oracle database SYS.AUD$ table contains all the audit records for the database of the non-Data Manipulation Language (DML) events, such as ALTER, DROP, and CREATE, and so forth. (DML changes need trigger-based audit events to record data alterations.) Unauthorized grantees should not have full access to that table."
"5.1.3.2 Ensure 'ALL' Is Revoked from Unauthorized 'GRANTEE' on 'DBA_%' (Scored)			",null,equals,null,The Oracle database DBA_ views show all information which is relevant to administrative accounts. Unauthorized grantees should not have full access to those views
"5.1.3.3 Ensure 'ALL' Is Revoked on 'Sensitive' Tables (Scored)			",null,equals,null,"The Oracle database tables listed below may contain sensitive information, and should not be accessible to unauthorized users. • USER$, USER_HISTORY$, XS$VERIFIERS and DEFAULT_PWD$ may contain password hashes. • CDB_LOCAL_ADMINAUTH$ and PDB_SYNC$ may contain DDLs. • LINK$ and SCHEDULER$_CREDENTIAL may contain encrypted passwords. • ENC$ may contains encryption keys. • HISTGRM$ and HIST_HEAD$ may contain sensitive data."
"5.2.1 Ensure '%ANY%' Is Revoked from Unauthorized 'GRANTEE' (Scored)			",null,equals,null,The Oracle database ANY keyword provides the user the capability to alter any item in the catalog of the database. Unauthorized grantees should not have that keyword assigned to them.
"5.2.2 Ensure 'DBA_SYS_PRIVS.%' Is Revoked from Unauthorized 'GRANTEE' with 'ADMIN_OPTION' Set to 'YES' (Scored)			",null,equals,null,The Oracle database WITH_ADMIN privilege allows the designated user to grant another user the same privileges. Unauthorized grantees should not have that privilege.
"5.2.3 Ensure 'EXECUTE ANY PROCEDURE' Is Revoked from 'OUTLN' (Scored)			",null,equals,null,Remove unneeded EXECUTE ANY PROCEDURE privileges from OUTLN.
"5.2.4 Ensure 'EXECUTE ANY PROCEDURE' Is Revoked from 'DBSNMP' (Scored)			",null,equals,null,Remove unneeded EXECUTE ANY PROCEDURE privileges from DBSNMP.
"5.2.5 Ensure 'SELECT ANY DICTIONARY' Is Revoked from Unauthorized 'GRANTEE' (Scored)			",null,equals,null,The Oracle database SELECT ANY DICTIONARY privilege allows the designated user to access SYS schema objects. Unauthorized grantees should not have that privilege.
"5.2.6 Ensure 'SELECT ANY TABLE' Is Revoked from Unauthorized 'GRANTEE' (Scored)			",null,equals,null,"The Oracle database SELECT ANY TABLE privilege allows the designated user to open any table, except SYS, to view it. Unauthorized grantees should not have that privilege."
"5.2.7 Ensure 'AUDIT SYSTEM' Is Revoked from Unauthorized 'GRANTEE' (Scored)			",null,equals,null,The Oracle database AUDIT SYSTEM privilege allows changes to auditing activities on the system. Unauthorized grantees should not have that privilege.
"5.2.8 Ensure 'EXEMPT ACCESS POLICY' Is Revoked from Unauthorized 'GRANTEE' (Scored)			",null,equals,null,The Oracle database EXEMPT ACCESS POLICY keyword provides the user the capability to access all the table rows regardless of row-level security lockouts. Unauthorized grantees should not have that keyword assigned to them.
"5.2.9 Ensure 'BECOME USER' Is Revoked from Unauthorized 'GRANTEE' (Scored)			",null,equals,null,The Oracle database BECOME USER privilege allows the designated user to inherit the rights of another user. Unauthorized grantees should not have that privilege.
"5.2.10 Ensure 'CREATE PROCEDURE' Is Revoked from Unauthorized 'GRANTEE' (Scored)			",null,equals,null,The Oracle database CREATE PROCEDURE privilege allows the designated user to create a stored procedure that will fire when given the correct command sequence. Unauthorized grantees should not have that privilege.
"5.2.11 Ensure 'ALTER SYSTEM' Is Revoked from Unauthorized 'GRANTEE' (Scored)			",null,equals,null,The Oracle database ALTER SYSTEM privilege allows the designated user to dynamically alter the instance's running operations. Unauthorized grantees should not have that privilege.
"5.2.12 Ensure 'CREATE ANY LIBRARY' Is Revoked from Unauthorized 'GRANTEE' (Scored)			",null,equals,null,The Oracle database CREATE ANY LIBRARY privilege allows the designated user to create objects that are associated to the shared libraries. Unauthorized grantees should not have that privilege.
"5.2.13 Ensure 'CREATE LIBRARY' Is Revoked from Unauthorized 'GRANTEE' (Scored)			",null,equals,null,The Oracle database CREATE LIBRARY privilege allows the designated user to create objects that are associated to the shared libraries. Unauthorized grantees should not have that privilege.
"5.2.14 Ensure 'GRANT ANY OBJECT PRIVILEGE' Is Revoked from Unauthorized 'GRANTEE' (Scored)			",null,equals,null,The Oracle database GRANT ANY OBJECT PRIVILEGE keyword provides the grantee the capability to grant access to any single or multiple combinations of objects to any grantee in the catalog of the database. Unauthorized grantees should not have that keyword assigned to them.
"5.2.15 Ensure 'GRANT ANY ROLE' Is Revoked from Unauthorized 'GRANTEE' (Scored)			",null,equals,null,The Oracle database GRANT ANY ROLE keyword provides the grantee the capability to grant any single role to any grantee in the catalog of the database. Unauthorized grantees should not have that keyword assigned to them.
"5.2.16 Ensure 'GRANT ANY PRIVILEGE' Is Revoked from Unauthorized 'GRANTEE' (Scored)			",null,equals,null,The Oracle database GRANT ANY PRIVILEGE keyword provides the grantee the capability to grant any single privilege to any item in the catalog of the database. Unauthorized grantees should not have that privilege.
"5.3.1 Ensure 'DELETE_CATALOG_ROLE' Is Revoked from Unauthorized 'GRANTEE' (Scored)			",null,equals,null,THIS ROLE IS DEPRECATED IN V12. The Oracle database DELETE_CATALOG_ROLE provides DELETE privileges for the records in the system's audit table (AUD$). Unauthorized grantees should not have that role.
"5.3.2 Ensure 'SELECT_CATALOG_ROLE' Is Revoked from Unauthorized 'GRANTEE' (Scored)			",null,equals,null,The Oracle database SELECT_CATALOG_ROLE provides SELECT privileges on all data dictionary views held in the SYS schema. Unauthorized grantees should not have that role.
"5.3.3 Ensure 'EXECUTE_CATALOG_ROLE' Is Revoked from Unauthorized 'GRANTEE' (Scored)			",null,equals,null,The Oracle database EXECUTE_CATALOG_ROLE provides EXECUTE privileges for a number of packages and procedures in the data dictionary in the SYS schema. Unauthorized grantees should not have that role.
"5.3.4 Ensure 'DBA' Is Revoked from Unauthorized 'GRANTEE' (Scored)			",null,equals,null,The Oracle database DBA role is the default database administrator role provided for the allocation of administrative privileges. Unauthorized grantees should not have that role.
"6.1.1 Ensure the 'USER' Audit Option Is Enabled (Scored)			",null,equals,null,"The USER object allows for creating accounts that can interact with the database according to the roles and privileges allotted to the account. It may also own database objects. Enabling the audit option causes auditing of all activities and requests to create, drop or alter a user, including a user changing their own password. (The latter is not audited by audit ALTER USER.)"
"6.1.2 Ensure the 'ROLE' Audit Option Is Enabled (Scored)			",some_result,some_result,result,"The ROLE object allows for the creation of a set of privileges that can be granted to users or other roles. Enabling the audit option causes auditing of all attempts, successful or not, to create, drop, alter or set roles."
"6.1.3 Ensure the 'SYSTEM GRANT' Audit Option Is Enabled (Scored)			",some_result,some_result,result,"Enabling the audit option for the SYSTEM GRANT object causes auditing of any attempt, successful or not, to grant or revoke any system privilege or role, regardless of privilege held by the user attempting the operation."
"6.1.4 Ensure the 'PROFILE' Audit Option Is Enabled (Scored)			",some_result,some_result,result,"The PROFILE object allows for the creation of a set of database resource limits that can be assigned to a user, so that that user cannot exceed those resource limitations. Enabling the audit option causes auditing of all attempts, successful or not, to create, drop or alter any profile."
"6.1.5 Ensure the 'DATABASE LINK' Audit Option Is Enabled (Scored)			",some_result,some_result,result,Enabling the audit option for the DATABASE LINK object causes all activities on database links to be audited.
"6.1.6 Ensure the 'PUBLIC DATABASE LINK' Audit Option Is Enabled (Scored)			",some_result,some_result,result,"The PUBLIC DATABASE LINK object allows for the creation of a public link for an application-based ""user"" to access the database for connections/session creation. Enabling the audit option causes all user activities involving the creation, alteration, or dropping of public links to be audited."
"6.1.7 Ensure the 'PUBLIC SYNONYM' Audit Option Is Enabled (Scored)			",some_result,some_result,result,The PUBLIC SYNONYM object allows for the creation of an alternate description of an object. Public synonyms are accessible by all users that have the appropriate privileges to the underlying object. Enabling the audit option causes all user activities involving the creation or dropping of public synonyms to be audited
"6.1.8 Ensure the 'SYNONYM' Audit Option Is Enabled (Scored)			",some_result,some_result,result,"The SYNONYM operation allows for the creation of an alternative name for a database object such as a Java class schema object, materialized view, operator, package, procedure, sequence, stored function, table, view, user-defined object type, or even another synonym. This synonym puts a dependency on its target and is rendered invalid if the target object is changed/dropped. Enabling the audit option causes all user activities involving the creation or dropping of synonyms to be audited."
"6.1.9 Ensure the 'DIRECTORY' Audit Option Is Enabled (Scored)			",some_result,some_result,result,"The DIRECTORY object allows for the creation of a directory object that specifies an alias for a directory on the server file system, where the external binary file LOBs (BFILEs)/ table data are located. Enabling this audit option causes all user activities involving the creation or dropping of a directory alias to be audited."
"6.1.10 Ensure the 'SELECT ANY DICTIONARY' Audit Option Is Enabled (Scored)			",some_result,some_result,result,The SELECT ANY DICTIONARY capability allows the user to view the definitions of all schema objects in the database. Enabling the audit option causes all user activities involving this capability to be audited.
"6.1.11 Ensure the 'GRANT ANY OBJECT PRIVILEGE' Audit Option Is Enabled (Scored)			",some_result,some_result,result,"GRANT ANY OBJECT PRIVILEGE allows the user to grant or revoke any object privilege, which includes privileges on tables, directories, mining models, etc. Enabling this audit option causes auditing of all uses of that privilege."
"6.1.12 Ensure the 'GRANT ANY PRIVILEGE' Audit Option Is Enabled (Scored)			",some_result,some_result,result,"GRANT ANY PRIVILEGE allows a user to grant any system privilege, including the most powerful privileges typically available only to administrators - to change the security infrastructure, to drop/add/modify users and more."
"6.1.13 Ensure the 'DROP ANY PROCEDURE' Audit Option Is Enabled (Scored)			",some_result,some_result,result,The AUDIT DROP ANY PROCEDURE command is auditing the dropping of procedures. Enabling the option causes auditing of all such activities.
"6.1.14 Ensure the 'ALL' Audit Option on 'SYS.AUD$' Is Enabled (Scored)			",some_result,some_result,result,The logging of attempts to alter the audit trail in the SYS.AUD$ table (open for read/update/delete/view) will provide a record of any activities that may indicate unauthorized attempts to access the audit trail. Enabling the audit option will cause these activities to be audited.
"6.1.15 Ensure the 'PROCEDURE' Audit Option Is Enabled (Scored)			",some_result,some_result,result,"In this statement audit, PROCEDURE means any procedure, function, package or library. Enabling this audit option causes any attempt, successful or not, to create or drop any of these types of objects to be audited, regardless of privilege or lack thereof. Java schema objects (sources, classes, and resources) are considered the same as procedures for the purposes of auditing SQL statements."
"6.1.16 Ensure the 'ALTER SYSTEM' Audit Option Is Enabled (Scored)			",some_result,some_result,result,"ALTER SYSTEM allows one to change instance settings, including security settings and auditing options. Additionally, ALTER SYSTEM can be used to run operating system commands using undocumented Oracle functionality. Enabling the audit option will audit all attempts to perform ALTER SYSTEM, whether successful or not and regardless of whether or not the ALTER SYSTEM privilege is held by the user attempting the action."
"6.1.17 Ensure the 'TRIGGER' Audit Option Is Enabled (Scored)			",some_result,some_result,result,"A TRIGGER may be used to modify DML actions or invoke other (recursive) actions when some types of user-initiated actions occur. Enabling this audit option will cause auditing of any attempt, successful or not, to create, drop, enable or disable any schema trigger in any schema regardless of privilege or lack thereof. For enabling and disabling a trigger, it covers both ALTER TRIGGER and ALTER TABLE."
"6.1.18 Ensure the 'CREATE SESSION' Audit Option Is Enabled (Scored)			",some_result,some_result,result,"Enabling this audit option will cause auditing of all attempts to connect to the database, whether successful or not, as well as audit session disconnects/logoffs. The commands to audit SESSION, CONNECT or CREATE SESSION all accomplish the same thing - they initiate statement auditing of the connect statement used to create a database session."
"6.2.1 Ensure the 'CREATE USER' Action Audit Is Enabled (Scored)			",some_result,some_result,result,"The CREATE USER statement is used to create Oracle database accounts and assign database properties to them. Enabling this unified action audit causes logging of all CREATE USER statements, whether successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements."
"6.2.2 Ensure the 'ALTER USER' Action Audit Is Enabled (Scored)			",some_result,some_result,result,"The ALTER USER statement is used to change database users’ password, lock accounts, and expire passwords. In addition, this statement is used to change database properties of user accounts such as database profiles, default and temporary tablespaces, and tablespace quotas. This unified audit action enables logging of all ALTER USER statements, whether successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements."
"6.2.3 Ensure the 'DROP USER' Audit Option Is Enabled (Scored)			",some_result,some_result,result,"The DROP USER statement is used to drop Oracle database accounts and schemas associated with them. Enabling this unified action audit enables logging of all DROP USER statements, whether successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements."
"6.2.4 Ensure the 'CREATE ROLE' Action Audit Is Enabled (Scored)			",some_result,some_result,result,"An Oracle database role is a collection or set of privileges that can be granted to users or other roles. Roles may include system privileges, object privileges or other roles. Enabling this unified audit action enables logging of all CREATE ROLE statements, whether successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements."
"6.2.5 Ensure the 'ALTER ROLE' Action Audit Is Enabled (Scored)			",some_result,some_result,result,"An Oracle database role is a collection or set of privileges that can be granted to users or other roles. Roles may include system privileges, object privileges or other roles. The ALTER ROLE statement is used to change the authorization needed to enable a role. Enabling this unified action audit causes logging of all ALTER ROLE statements, whether successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements."
"6.2.6 Ensure the 'DROP ROLE' Action Audit Is Enabled (Scored)			",some_result,some_result,result,"An Oracle database role is a collection or set of privileges that can be granted to users or other roles. Roles may include system privileges, object privileges or other roles. Enabling this unified audit action enables logging of all DROP ROLE statements, successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements."
"6.2.7 Ensure the 'GRANT' Action Audit Is Enabled (Scored)			",some_result,some_result,result,"GRANT statements are used to grant privileges to Oracle database users and roles, including the most powerful privileges and roles typically available to the database administrators. Enabling this unified action audit enables logging of all GRANT statements, whether successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements."
"6.2.8 Ensure the 'REVOKE' Action Audit Is Enabled (Scored)			",some_result,some_result,result,"REVOKE statements are used to revoke privileges from Oracle database users and roles. Enabling this unified action audit enables logging of all REVOKE statements, successful or unsuccessful, issued by the users regardless of the privileges held by the users to issue such statements."
