audit_id,audit_name,audit_description,audit_remediation,check
2.1.15,Ensure snmp services are not in use,"
Simple Network Management Protocol (SNMP) is a widely used protocol for monitoring
the health and welfare of network equipment, computer equipment and devices like
UPSs.
Net-SNMP is a suite of applications used to implement SNMPv1 (RFC 1157), SNMPv2
(RFCs 1901-1908), and SNMPv3 (RFCs 3411-3418) using both IPv4 and IPv6.
Support for SNMPv2 classic (a.k.a. ""SNMPv2 historic"" - RFCs 1441-1452) was dropped
with the 4.0 release of the UCD-snmp package.
The Simple Network Management Protocol (SNMP) server is used to listen for SNMP
commands from an SNMP management system, execute the commands or collect the
information and then send results back to the requesting system.
","
Run the following commands to stop snmpd.service and remove net-snmp package:
# systemctl stop snmpd.service
# zypper remove net-snmp
- OR - If the package is required for dependencies:
Run the following commands to stop and mask the snmpd.service:
# systemctl stop snmpd.service
# systemctl mask snmpd.service
",,TRUE
2.1.16,Ensure telnet server services are not in use,"
The telnet-server package contains the telnet daemon, which accepts connections
from users from other systems via the telnet protocol.
","
Run the following commands to stop telnet.socket and remove the telnet-server
package:
# systemctl stop telnet.socket
# zypper remove telnet-server
- OR -
- IF - a package is installed and is required for dependencies:
Run the following commands to stop and mask telnet.socket:
# systemctl stop telnet.socket
# systemctl mask telnet.socket
",,TRUE
2.1.17,Ensure tftp server services are not in use,"
Trivial File Transfer Protocol (TFTP) is a simple protocol for exchanging files between
two TCP/IP machines. TFTP servers allow connections from a TFTP Client for sending
and receiving files.
","
Run the following commands to stop tftp.socket and tftp.service, and remove the
tftp-server package:
# systemctl stop tftp.socket tftp.service
# zypper remove tftp-server
- OR -
- IF - the tftp-server package is required as a dependency:
Run the following commands to stop and mask tftp.socket and tftp.service:
# systemctl stop tftp.socket tftp.service
# systemctl mask tftp.socket tftp.service
",,TRUE
2.1.18,Ensure web proxy server services are not in use,"
Squid is a standard proxy server used in many distributions and environments.
","
Run the following commands to stop squid.service and remove the squid package:
# systemctl stop squid.service
# zypper remove squid
- OR - If the squid package is required as a dependency:
Run the following commands to stop and mask the squid.service:
# systemctl stop squid.service
# systemctl mask squid.service
",,TRUE
2.1.19,Ensure web server services are not in use,"
Web servers provide the ability to host web site content.
","
Run the following commands to stop apache2.service, and nginx.service, and
remove apache2 and nginx packages:
# systemctl stop apache2.service nginx.service
# zypper remove apache2 nginx
- OR -
- IF - a package is installed and is required for dependencies:
Run the following commands to stop and mask apache2.service, and
nginx.service:
# systemctl stop apache2.service nginx.service
# systemctl mask apache2.service nginx.service
Note: Other web server packages may exist. If not required and authorized by local site
policy, they should also be removed. If the package is required for a dependency, the
service and socket should be stopped and masked.
",,TRUE
2.1.20,Ensure xinetd services are not in use,"
The eXtended InterNET Daemon (xinetd) is an open source super daemon that
replaced the original inetd daemon. The xinetd daemon listens for well known
services and dispatches the appropriate daemon to properly respond to service
requests.
","
Run the following commands to stop xinetd.service, and remove the xinetd
package:
# systemctl stop xinetd.service
# zypper remove xinetd
- OR -
- IF - the xinetd package is required as a dependency:
Run the following commands to stop and mask the xinetd.service:
# systemctl stop xinetd.service
# systemctl mask xinetd.service
",,TRUE
2.1.21,Ensure X window server services are not in use,"
The X Window System provides a Graphical User Interface (GUI) where users can have
multiple windows in which to run programs and various add on. The X Windows system
is typically used on workstations where users login, but not on servers where users
typically do not login.
","
- IF - a Graphical Desktop Manager or X-Windows server is not required and approved
by local site policy:
Run the following command to remove the X Windows Server packages:
# zypper remove xorg-x11-server*
",,TRUE
2.1.22,Ensure mail transfer agents are configured for local-only mode,"
Mail Transfer Agents (MTA), such as sendmail, Exim and Postfix, are used to listen for
incoming mail and transfer the messages to the appropriate user or mail server. If the
system is not intended to be a mail server, it is recommended that the MTA be
configured to only process local mail
","
Edit /etc/postfix/main.cf and add the following line to the RECEIVING MAIL
section. If the line already exists, change it to look like the line below:
inet_interfaces = loopback-only
Run the following command to restart postfix:
# systemctl restart postfix
Note:
• This recommendation is designed around the postfix mail server.
• Depending on your environment you may have an alternative MTA installed such
as exim4 or sendmail. If this is the case consult the documentation for your
installed MTA to configure the recommended state.
",,TRUE
2.2.1,Ensure ftp client is not installed,"
FTP (File Transfer Protocol) is a traditional and widely used standard tool for
transferring files between a server and clients over a network, especially where no
authentication is necessary (permits anonymous users to connect to a server).
","
Run the following command to remove ftp:
# zypper remove ftp
",,TRUE
2.2.2,Ensure ldap client is not installed,"
The Lightweight Directory Access Protocol (LDAP) was introduced as a replacement for
NIS/YP. It is a service that provides a method for looking up information from a central
database.
","
Run the following command to remove the openldap2-client and openldap2_5
package:
# zypper remove openldap2-client openldap2_5
",,TRUE
2.2.3,Ensure nis client is not installed,"
The Network Information Service (NIS), formerly known as Yellow Pages, is a client-
server directory service protocol used to distribute system configuration files. The NIS
client ( ypbind ) was used to bind a machine to an NIS server and receive the
distributed configuration files.
","
Run the following command to remove the ypbind package:
# zypper remove ypbind
",,TRUE
2.2.4,Ensure telnet client is not installed,"
The telnet package contains the telnet client, which allows users to start
connections to other systems via the telnet protocol.
","
Run the following command to remove the telnet package:
# zypper remove telnet
",,TRUE
2.2.5,Ensure tftp client is not installed,"
Trivial File Transfer Protocol (TFTP) is a simple protocol for exchanging files between
two TCP/IP machines. TFTP servers allow connections from a TFTP Client for sending
and receiving files.
","
Run the following command to remove tftp:
# zypper remove tftp
",,TRUE
2.3.1.1,Ensure a single time synchronization daemon is in use,"
System time should be synchronized between all systems in an environment. This is
typically done by establishing an authoritative time server or set of servers and having
all systems synchronize their clocks to them.
Note:
• On virtual systems where host based time synchronization is available
consult your virtualization software documentation and verify that host
based synchronization is in use and follows local site policy. In this
scenario, this section should be skipped
• Only one time synchronization method should be in use on the system.
Configuring multiple time synchronization methods could lead to unexpected or
unreliable results
","
On physical systems, and virtual systems where host based time synchronization is not
available.
Select one of the two time synchronization daemons; chrony (1) or systemd-
timesyncd (2) and following the remediation procedure for the selected daemon.
Note: enabling more than one synchronization daemon could lead to unexpected or
unreliable results:
1. chrony
Run the following command to install chrony:
# zypper install chrony
Run the following commands to stop and mask the systemd-timesyncd daemon:
# systemctl stop systemd-timesyncd.service
# systemctl mask systemd-timesyncd.service
2. systemd-timesyncd
Run the following command to remove the chrony package:
# zypper remove chrony
",,TRUE
2.3.3.1,Ensure chrony is configured,"
chrony is a daemon which implements the Network Time Protocol (NTP) and is
designed to synchronize system clocks across a variety of systems and use a source
that is highly accurate. More information on chrony can be found at:
http://chrony.tuxfamily.org/. chrony can be configured to be a client and/or a server.
","
Add or edit server or pool lines to /etc/chrony.conf as appropriate:
server <remote-server>
Add or edit the OPTIONS in /etc/sysconfig/chronyd to include '-u chrony':
OPTIONS=""-u chrony""
Run the following command to reload the chrony config:
# systemctl reload-or-restart chronyd
",,TRUE
2.3.3.2,Ensure chrony is enabled and running,"
chrony is a daemon for synchronizing the system clock across the network
","
- IF - chrony is in use on the system, run the following commands:
Run the following command to unmask chronyd.service:
# systemctl unmask chronyd.service
Run the following command to enable and start chronyd.service:
# systemctl --now enable chronyd.service
- OR -
If another time synchronization service is in use on the system, run the following
command to remove chrony:
# zypper remove chrony
",,TRUE
2.3.2.1,Ensure systemd-timesyncd configured with authorized timeserver,"
NTP=
• A space-separated list of NTP server host names or IP addresses. During
runtime this list is combined with any per-interface NTP servers acquired from
systemd-networkd.service(8). systemd-timesyncd will contact all configured
system or per-interface servers in turn, until one responds. When the empty
string is assigned, the list of NTP servers is reset, and all prior assignments will
have no effect. This setting defaults to an empty list.
FallbackNTP=
• A space-separated list of NTP server host names or IP addresses to be used as
the fallback NTP servers. Any per-interface NTP servers obtained from systemd-
networkd.service(8) take precedence over this setting, as do any servers set via
NTP= above. This setting is hence only relevant if no other NTP server
information is known. When the empty string is assigned, the list of NTP servers
is reset, and all prior assignments will have no effect. If this option is not given, a
compiled-in list of NTP servers is used.
","
Set NTP and/or FallbackNPT parameters to local site approved authoritative time
server(s) in /etc/systemd/timesyncd.conf or a file in
/etc/systemd/timesyncd.conf.d/ ending in .conf in the [Time] section:
Example file:
[Time]
NTP=time.nist.gov # Uses the generic name for NIST's time servers
FallbackNTP=time-a-g.nist.gov time-b-g.nist.gov time-c-g.nist.gov # Space
separated list of NIST time servers
Example script to create systemd drop-in configuration file:
#!/usr/bin/env bash
{
a_settings=(""NTP=time.nist.gov"" ""FallbackNTP=time-a-g.nist.gov time-b-
g.nist.gov time-c-g.nist.gov"")
[ ! -d /etc/systemd/timesyncd.conf.d/ ] && mkdir
/etc/systemd/timesyncd.conf.d/
if grep -Psq -- '^\h*\[Time\]' /etc/systemd/timesyncd.conf.d/60-
timesyncd.conf; then
printf '%s\n' """" ""${a_settings[@]}"" >>
/etc/systemd/timesyncd.conf.d/60-timesyncd.conf
else
printf '%s\n' """" ""[Time]"" ""${a_settings[@]}"" >>
/etc/systemd/timesyncd.conf.d/60-timesyncd.conf
fi
}
Note: If this setting appears in a canonically later file, or later in the same file, the
setting will be overwritten
Run to following command to update the parameters in the service:
# systemctl reload-or-restart systemd-timesyncd
Default Value:
#NTP=
#FallbackNTP=
",,TRUE
2.3.2.2,Ensure systemd-timesyncd is enabled and running,"
systemd-timesyncd is a daemon that has been added for synchronizing the system
clock across the network
","
 -IF - systemd-timesyncd is in use on the system, run the following commands:
Run the following command to unmask systemd-timesyncd.service:
# systemctl unmask systemd-timesyncd.service
Run the following command to enable and start systemd-timesyncd.service:
# systemctl --now enable systemd-timesyncd.service
- OR -
If another time synchronization service is in use on the system, run the following
command to stop and mask systemd-timesyncd:
# systemctl --now mask systemd-timesyncd.service
",,TRUE
2.4.1.1,Ensure cron daemon is enabled and active,"
The cron daemon is used to execute batch jobs on the system.
","
- IF - cron is installed on the system:
Run the following commands to unmask, enable, and start cron:
# systemctl unmask ""$(systemctl list-unit-files | awk
'$1~/^crond?\.service/{print $1}')""
# systemctl --now enable ""$(systemctl list-unit-files | awk
'$1~/^crond?\.service/{print $1}')""
",,TRUE
2.4.1.2,Ensure access to /etc/crontab is configured,"
The /etc/crontab file is used by cron to control its own jobs. The commands in this
item make sure that root is the user and group owner of the file and that only the owner
can access the file.
","
- IF - cron is installed on the system:
Run the following commands to set ownership and permissions on /etc/crontab:
# chown root:root /etc/crontab
# chmod og-rwx /etc/crontab
Default Value:
Access: (644/-rw-r--r--) Uid: ( 0/ root) Gid: ( 0/ root)
",,TRUE
2.4.1.3,Ensure access to /etc/cron.hourly is configured,"
This directory contains system cron jobs that need to run on an hourly basis. The files
in this directory cannot be manipulated by the crontab command, but are instead
edited by system administrators using a text editor. The commands below restrict
read/write and search access to user and group root, preventing regular users from
accessing this directory.
","
- IF - cron is installed on the system:
Run the following commands to set ownership and permissions on the
/etc/cron.hourly directory:
# chown root:root /etc/cron.hourly/
# chmod og-rwx /etc/cron.hourly/
Default Value:
Access: (755/drwxr-xr-x) Uid: ( 0/ root) Gid: ( 0/ root)
",,TRUE
2.4.1.4,Ensure access to /etc/cron.daily is configured,"
The /etc/cron.daily directory contains system cron jobs that need to run on a daily
basis. The files in this directory cannot be manipulated by the crontab command, but
are instead edited by system administrators using a text editor. The commands below
restrict read/write and search access to user and group root, preventing regular users
from accessing this directory.
","
- IF - cron is installed on the system:
Run the following commands to set ownership and permissions on the
/etc/cron.daily directory:
# chown root:root /etc/cron.daily/
# chmod og-rwx /etc/cron.daily/
Default Value:
Access: (755/drwxr-xr-xEnsure access to /etc/cron.weekly is configured) Uid: ( 0/ root) Gid: ( 0/ root)
",,TRUE
2.4.1.5,Ensure access to /etc/cron.weekly is configured,"
The /etc/cron.weekly directory contains system cron jobs that need to run on a
weekly basis. The files in this directory cannot be manipulated by the crontab
command but are instead edited by system administrators using a text editor. The
commands below restrict read/write and search access to user and group root,
preventing regular users from accessing this directory.
","
- IF - cron is installed on the system:
Run the following commands to set ownership and permissions on the
/etc/cron.weekly directory:
# chown root:root /etc/cron.weekly/
# chmod og-rwx /etc/cron.weekly/
Default Value:
Access: (755/drwxr-xr-x) Uid: ( 0/ root) Gid: ( 0/ root)
",,TRUE
2.4.1.6,Ensure access to /etc/cron.monthly is configured,"
The /etc/cron.monthly directory contains system cron jobs that need to run on a
monthly basis. The files in this directory cannot be manipulated by the crontab
command but are instead edited by system administrators using a text editor. The
commands below restrict read/write and search access to user and group root,
preventing regular users from accessing this directory.
","
- IF - cron is installed on the system:
Run the following commands to set ownership and permissions on the
/etc/cron.monthly directory:
# chown root:root /etc/cron.monthly/
# chmod og-rwx /etc/cron.monthly/
Default Value:
Access: (755/drwxr-xr-x) Uid: ( 0/ root) Gid: ( 0/ root)
",,TRUE
2.4.1.7,Ensure access to /etc/cron.d is configured,"
The /etc/cron.d directory contains system cron jobs that need to run in a similar
manner to the hourly, daily weekly and monthly jobs from /etc/crontab, but require
more granular control as to when they run. The files in this directory cannot be
manipulated by the crontab command but are instead edited by system administrators
using a text editor. The commands below restrict read/write and search access to user
and group root, preventing regular users from accessing this directory.
","
- IF - cron is installed on the system:
Run the following commands to set ownership and permissions on the /etc/cron.d
directory:
# chown root:root /etc/cron.d/
# chmod og-rwx /etc/cron.d/
Default Value:
Access: (755/drwxr-xr-x) Uid: ( 0/ root) Gid: ( 0/ root)
",,TRUE
2.4.1.8,Ensure access to crontab is configured,"
crontab is the program used to install, deinstall, or list the tables used to drive the cron
daemon. Each user can have their own crontab, and though files are created, they are
not intended to be edited directly.
If the /etc/cron.allow file exists, then you must be listed (one user per line) therein in
order to be allowed to use this command. If the /etc/cron.allow file does not exist but
the /etc/cron.deny file does exist, then you must not be listed in the /etc/cron.deny
file in order to use this command.
If neither of these files exists, then depending on site-dependent configuration
parameters, only the super user will be allowed to use this command, or all users will be
able to use this command.
If both files exist then /etc/cron.allow takes precedence. Which means that
/etc/cron.deny is not considered and your user must be listed in /etc/cron.allow
in order to be able to use the crontab.
Regardless of the existence of any of these files, the root administrative user is always
allowed to setup a crontab.
The files /etc/cron.allow and /etc/cron.deny, if they exist, must be either world-
readable, or readable by group crontab. If they are not, then cron will deny access to
all users until the permissions are fixed.
There is one file for each user's crontab. Users are not allowed to edit the file directly to
ensure that only users allowed by the system to run periodic tasks can add them, and
only syntactically correct crontabs will be written. This is enforced by having the
directory writable only by the crontab group and configuring crontab command with the
setgid bid set for that specific group.
Note:
• Even though a given user is not listed in cron.allow, cron jobs can still be run
as that user
• The files /etc/cron.allow and /etc/cron.deny, if they exist, only controls
administrative access to the crontab command for scheduling and modifying cron
jobs
","
- IF - cron is installed on the system:
Run the following script to:
• Create /etc/cron.allow if it doesn't exist
• Change owner to user root
• Change group owner to group root - OR - group crontab if it exists
• Change mode to 640 or more restrictive
#!/usr/bin/env bash
{
[ ! -e ""/etc/cron.deny"" ] && touch /etc/cron.allow
chmod u-x,g-wx,o-rwx /etc/cron.allow
if grep -Pq -- '^\h*crontab\:' /etc/group; then
chown root:crontab /etc/cron.allow
else
chown root:root /etc/cron.allow
fi
}
- IF - /etc/cron.deny exists, run the following script to:
• Change owner to user root
• Change group owner to group root - OR - group crontab if it exists
• Change mode to 640 or more restrictive
#!/usr/bin/env bash
{
if [ -e ""/etc/cron.deny"" ]; then
chmod u-x,g-wx,o-rwx /etc/cron.deny
if grep -Pq -- '^\h*crontab\:' /etc/group; then
chown root:crontab /etc/cron.deny
else
chown root:root /etc/cron.deny
fi
fi
}
Note: On systems where cron is configured to use the group crontab, if the group
crontab is not set as the owner of cron.allow, then cron will deny access to all users
and you will see an error similar to:
You (<USERNAME>) are not allowed to use this program (crontab)
See crontab(1) for more information
",,TRUE
2.4.2.1,Ensure access to at is configured,"
at allows fairly complex time specifications, extending the POSIX.2 standard. It accepts
times of the form HH:MM to run a job at a specific time of day. (If that time is already
past, the next day is assumed.) You may also specify midnight, noon, or teatime (4pm)
and you can have a time-of-day suffixed with AM or PM for running in the morning or
the evening. You can also say what day the job will be run, by giving a date in the form
month-name day with an optional year, or giving a date of the form MMDD[CC]YY,
MM/DD/[CC]YY, DD.MM.[CC]YY or [CC]YY-MM-DD. The specification of a date must
follow the specification of the time of day. You can also give times like now + count
time-units, where the time-units can be minutes, hours, days, or weeks and you can tell
at to run the job today by suffixing the time with today and to run the job tomorrow by
suffixing the time with tomorrow.
The /etc/at.allow and /etc/at.deny files determine which user can submit
commands for later execution via at or batch. The format of the files is a list of
usernames, one on each line. Whitespace is not permitted. If the file /etc/at.allow
exists, only usernames mentioned in it are allowed to use at. If /etc/at.allow does
not exist, /etc/at.deny is checked, every username not mentioned in it is then allowed
to use at. An empty /etc/at.deny means that every user may use at. If neither file
exists, only the superuser is allowed to use at.
","
- IF - at is installed on the system:
Run the following script to:
• /etc/at.allow:
o Create the file if it doesn't exist
o Change owner or user root
o If group daemon exists, change to group daemon, else change group to
root
o Change mode to 640 or more restrictive
• - IF - /etc/at.deny exists:
o Change owner or user root
o If group daemon exists, change to group daemon, else change group to
root
o Change mode to 640 or more restrictive
#!/usr/bin/env bash
{
grep -Pq -- '^daemon\b' /etc/group && l_group=""daemon"" || l_group=""root""
[ ! -e ""/etc/at.allow"" ] && touch /etc/at.allow
chown root:""$l_group"" /etc/at.allow
chmod u-x,g-wx,o-rwx /etc/at.allow
[ -e ""/etc/at.deny"" ] && chown root:""$l_group"" /etc/at.deny
[ -e ""/etc/at.deny"" ] && chmod u-x,g-wx,o-rwx /etc/at.deny
}
",,TRUE
1.1.1.1,Ensure cramfs kernel module is not available,"
The cramfs filesystem type is a compressed read-only Linux filesystem embedded in
small footprint systems. A cramfs image can be used without having to first
decompress the image.
","
Run the following to unload and disable the cramfs kernel module. This can also be
done by running the script included below.
1. Run the following commands to unload the cramfs kernel module:
# modprobe -r cramfs 2>/dev/null
# rmmod cramfs 2>/dev/null
2. Perform the following to disable the cramfs kernel module:
a) Create a file ending in .conf with install cramfs /bin/false in the
/etc/modprobe.d/ directory
Example:
# printf '\n%s\n' ""install cramfs /bin/false"" >> cramfs.conf
b) Create a file ending in .conf with blacklist cramfs in the /etc/modprobe.d/
directory
Example:
# printf '\n%s\n' ""blacklist cramfs"" >> cramfs.conf
",,TRUE
1.1.1.2,Ensure freevxfs kernel module is not available,"
The freevxfs filesystem type is a free version of the Veritas type filesystem. This is the
primary filesystem type for HP-UX operating systems
","
Run the following to unload and disable the freevxfs kernel module. This can also be
done by running the script included below.
Run the following commands to unload the freevxfs kernel module:
# modprobe -r freevxfs 2>/dev/null
# rmmod freevxfs 2>/dev/null
Perform the following to disable the freevxfs kernel module:
Create a file ending in .conf with install freevxfs /bin/false in the
/etc/modprobe.d/ directory
Example:
# printf '\n%s\n' ""install freevxfs /bin/false"" >> freevxfs.conf
Create a file ending in .conf with blacklist freevxfs in the /etc/modprobe.d/
directory
Example:
# printf '\n%s\n' ""blacklist freevxfs"" >> freevxfs.conf
",,TRUE
1.1.1.3,Ensure hfs kernel module is not available,"
The hfs filesystem type is a hierarchical filesystem that allows you to mount Mac OS
filesystems.
","
Run the following to unload and disable the hfs kernel module. This can also be done
by running the script included below.
Run the following commands to unload the hfs kernel module:
# modprobe -r hfs 2>/dev/null
# rmmod hfs 2>/dev/null
Perform the following to disable the hfs kernel module:
Create a file ending in .conf with install hfs /bin/false in the /etc/modprobe.d/
directory
Example:
# printf '\n%s\n' ""install hfs /bin/false"" >> hfs.conf
Create a file ending in .conf with blacklist hfs in the /etc/modprobe.d/ directory
Example:
# printf '\n%s\n' ""blacklist hfs"" >> hfs.conf
",,TRUE
1.1.1.4,Ensure hfsplus kernel module is not available,"
The hfsplus filesystem type is a hierarchical filesystem designed to replace hfs that
allows you to mount Mac OS filesystems.
","
Run the following to unload and disable the hfsplus kernel module. This can also be
done by running the script included below.
Run the following commands to unload the hfsplus kernel module:
# modprobe -r hfsplus 2>/dev/null
# rmmod hfsplus 2>/dev/null
Perform the following to disable the hfsplus kernel module:
Create a file ending in .conf with install hfsplus /bin/false in the
/etc/modprobe.d/ directory
Example:
# printf '\n%s\n' ""install hfsplus /bin/false"" >> hfsplus.conf
Create a file ending in .conf with blacklist hfsplus in the /etc/modprobe.d/
directory
Example:
# printf '\n%s\n' ""blacklist hfsplus"" >> hfsplus.conf
",,TRUE
