Name,Description,Settings,Remediation
2.11 Ensure SQL Server is configured to use non-standard ports (Automated),"If installed, a default SQL Server instance will be assigned a default port of TCP:1433 for TCP/IP communication. Administrators can also manually configure named instances to use TCP:1433 for communication. TCP:1433 is a widely known SQL Server port and this port assignment should be changed. In a multi-instance scenario, each instance must be assigned its own dedicated TCP/IP port.","""Port1433Count"":0","1. In SQL Server Configuration Manager, in the console pane, expand SQL 
Server Network Configuration, expand Protocols for <InstanceName>, and 
then double-click the TCP/IP protocol 

2. In the TCP/IP Properties dialog box, on the IP Addresses tab, several IP 
addresses appear in the format IP1, IP2, up to IPAll. One of these is for the IP  
address of the loopback adapter, 127.0.0.1. Additional IP addresses appear for 
each IP Address on the computer. 

3. Under IPAll, change the TCP Port field from 1433 to a non-standard port or 
leave the TCP Port field empty and set the TCP Dynamic Ports value to 0 to 
enable dynamic port assignment and then click OK. 

4. In the console pane, click SQL Server Services. 

5. In the details pane, right-click SQL Server (<InstanceName>) and then click 
Restart, to stop and restart SQL Server. "
2.12 Ensure 'Hide Instance' option is set to 'Yes' for Production SQL Server instances (Automated),Non-clustered SQL Server instances within production environments should be designated as hidden to prevent advertisement by the SQL Server Browser service.,"""hideinstance"": 1","Perform either the GUI or T-SQL method shown: 

GUI Method 
1. In SQL Server 2022 Configuration Manager, expand SQL Server Network Configuration, right-click Protocols for <InstanceName>, and then select Properties. 
2. On the Flags tab, in the Hide Instance box, select Yes, and then click OK to close the dialog box. The change takes effect immediately for new connections. 

T-SQL Method 
Execute the following T-SQL to remediate: 

EXEC master.sys.xp_instance_regwrite 
@rootkey = N'HKEY_LOCAL_MACHINE', 
@key = N'SOFTWARE\Microsoft\Microsoft SQL 
Server\MSSQLServer\SuperSocketNetLib', 
@value_name = N'HideInstance', 
@type = N'REG_DWORD', 
@value = 1;"
2.13 Ensure the 'sa' Login Account is set to 'Disabled' (Automated),The sa account is a widely known and often widely used SQL Server account with sysadmin privileges. This is the original login created during installation and always has the principal_id=1 and sid=0x01.,null,"Execute the following T-SQL query: 
 
USE [master] 
GO 
DECLARE @tsql nvarchar(max) 
SET @tsql = 'ALTER LOGIN ' + SUSER_NAME(0x01) + ' DISABLE' 
EXEC (@tsql) 
GO"
2.15 Ensure 'AUTO_CLOSE' is set to 'OFF' on contained databases (Automated),"AUTO_CLOSE determines if a given database is closed or not after a connection terminates. If enabled, subsequent connections to the given database will require the database to be reopened and relevant procedure caches to be rebuilt.",null,"Execute the following T-SQL, replacing <database_name> with each database name found by the Audit Procedure: 

ALTER DATABASE <database_name> SET AUTO_CLOSE OFF; "
2.16 Ensure no login exists with the name 'sa' (Automated),"The sa login (e.g. principal) is a widely known and often widely used SQL Server account. Therefore, there should not be a login called sa even when the original sa login (principal_id = 1) has been renamed.",null,"Execute the appropriate ALTER statement below based on the principal_id returned for the login named sa. Replace the <different_name> value within the below syntax and execute to rename the sa login. 

USE [master] 
GO   
ALTER LOGIN [sa] WITH NAME = <different_name>; 
GO"
2.17 Ensure 'clr strict security' Server Configuration Option is set to '1' (Automated),The clr strict security option specifies whether the engine applies the PERMISSION_SET on the assemblies.,"""name"": ""clr strict security"",""value_configured"": 1,""value_in_use"": 1","Run the following T-SQL command: 

EXECUTE sp_configure 'show advanced options', 1; 
RECONFIGURE; 
EXECUTE sp_configure 'clr strict security', 1; 
RECONFIGURE; 
GO 
EXECUTE sp_configure 'show advanced options', 0; 
RECONFIGURE; "
3.1 Ensure 'Server Authentication' Property is set to 'Windows Authentication Mode' (Automated),Uses Windows Authentication to validate attempted connections.,"""login_mode"": 1","Perform either the GUI or T-SQL method shown: 

GUI Method 
1. Open SQL Server Management Studio. 
2. Open the Object Explorer tab and connect to the target SQL Server instance. 
3. Right click the instance name and select Properties. 
4. Select the Security page from the left menu. 
5. Set the Server authentication setting to Windows Authentication Mode. 

T-SQL Method 
Run the following T-SQL in a Query Window: 

USE [master] 
GO 
EXEC xp_instance_regwrite N'HKEY_LOCAL_MACHINE', 
N'Software\Microsoft\MSSQLServer\MSSQLServer', N'LoginMode', REG_DWORD, 1 
GO 

Restart the SQL Server service for the change to take effect."
3.4 Ensure SQL Authentication is not used in contained databases (Automated),Contained databases do not enforce password complexity rules for SQL Authenticated users.,null,Leverage Windows Authenticated users in contained databases.
3.8 Ensure only the default permissions specified by Microsoft are granted to the public server role (Automated),"public is a special fixed server role containing all logins. Unlike other fixed server roles, permissions can be changed for the public role. In keeping with the principle of least privileges, the public server role should not be used to grant permissions at the server scope as these would be inherited by all users.",null,"1. Add the extraneous permissions found in the Audit query results to the specific logins to user-defined server roles which require the access. 
2. Revoke the <permission_name> from the public role as shown below 

USE [master] 
GO 
REVOKE <permission_name> FROM public; 
GO "
3.10 Ensure Windows local groups are not SQL Logins (Automated),Local Windows groups should not be used as logins for SQL Server instances.,null,"1. For each LocalGroupName login, if needed create an equivalent AD group containing only the required user accounts. 
2. Add the AD group or individual Windows accounts as a SQL Server login and grant it the permissions required. 
3. Drop the LocalGroupName login using the syntax below after replacing <name>. 

USE [master] 
GO 
DROP LOGIN [<name>] 
GO "
3.11 Ensure the public role in the msdb database is not granted access to SQL Agent proxies (Automated),The public database role contains every user in the msdb database. SQL Agent proxies define a security context in which a job step can run.,null,"1. Ensure the required security principals are explicitly granted access to the proxy (use sp_grant_login_to_proxy). 
2. Revoke access to the <proxyname> from the public role. 

USE [msdb] 
GO 
EXEC dbo.sp_revoke_login_from_proxy @name = N'public', @proxy_name = 
N'<proxyname>'; 
GO"
3.13 Ensure membership in admin roles in MSDB database is limited (Automated),Based on Microsoft design an account with DB_OWNER can elevate permissions to SYSADMIN,"""Count"": 0","USE [msdb] 
GO 
ALTER ROLE [db_owner] DROP MEMBER <username>; "
4.3 Ensure 'CHECK_POLICY' Option is set to 'ON' for All SQL Authenticated Logins (Automated),Applies the same password complexity policy used in Windows to passwords used inside SQL Server.,null,"For each <login_name> found by the Audit Procedure, execute the following T-SQL statement: 

ALTER LOGIN [<login_name>] WITH CHECK_POLICY = ON; 
Note: In the case of AWS RDS do not perform this remediation for the Master account. "
5.1 Ensure 'Maximum number of error log files' is set to greater than or equal to '12' (Automated),SQL Server error log files must be protected from loss. The log files must be backed up before they are overwritten. Retaining more error logs helps prevent loss from frequent recycling before backups can occur.,Manual NumberOfLogFiles= -1 or NumberOfLogFiles>=12,"Adjust the number of logs to prevent data loss. The default value of 6 may be insufficient for a production environment. 
Perform either the GUI or T-SQL method shown:
 
GUI Method 
1. Open SQL Server Management Studio. 
2. Open Object Explorer and connect to the target instance. 
3. Navigate to the Management tab in Object Explorer and expand. Right click on the SQL Server Logs file and select Configure 
4. Check the Limit the number of error log files before they are recycled 
5. Set the Maximum number of error log files to greater than or equal to 12 

T-SQL Method 
Run the following T-SQL to change the number of error log files, replace 
<NumberAbove12> with your desired number of error log files: 
EXEC master.sys.xp_instance_regwrite 
N'HKEY_LOCAL_MACHINE', 
N'Software\Microsoft\MSSQLServer\MSSQLServer', 
N'NumErrorLogs', 
REG_DWORD, 
<NumberAbove12>; "
5.2 Ensure 'Default Trace Enabled' Server Configuration Option is set to '1' (Automated),"The default trace provides audit logging of database activity including account creations, privilege elevation and execution of DBCC commands.","""name"": ""default trace enabled"",""value_configured"": 1,""value_in_use"": 1","Run the following T-SQL command: 

EXECUTE sp_configure 'show advanced options', 1; 
RECONFIGURE; 
EXECUTE sp_configure 'default trace enabled', 1; 
RECONFIGURE; 
GO 
EXECUTE sp_configure 'show advanced options', 0; 
RECONFIGURE; "
7.3 Ensure Database Backups are Encrypted (Automated),Ensure Database Backups are Encrypted,null,"SQL Server backups need to 'Back up to a new media set', not 'Back up to the existing media set' in order to allow for encryption. The backup option to Encrypt Backup can be implemented after a Certificate or Asymmetric key has been applied to the SQL Server for this purpose. 
Alternatively, encrypt the database with TDE. This automatically encrypts the backups as well. See 7.5"
7.5 Ensure Databases are Encrypted with TDE (Automated),Ensure user databases are encrypted using Transparent Data Encryption (TDE). Backups of databases encrypted with TDE are automatically encrypted as well.,null,"Implement TDE encryption on each user database with sensitive data. 
More info on how to do this is available here: 
        https://learn.microsoft.com/en us/sql/relational-databases/security/encryption/transparent-data-encryption"
