CIS_NO,Subject,Description,Remediation
2.5.1,Ensure High Availability configuration is enabled,Ensure that FortiGate devices are configured for High Availability (HA).,"Reason:
    [reason_for_fail]

Remediation:
    In GUI: 
        1. Navigate to ""System"" and then ""HA"" 
        2. Ensure ""Mode"" is set to proper setting ""Active-Active"" or ""Active-Passive"" 
        3. Review Configuration settings: 
             - ""Cluster Name"" must match on devices 
             - ""Password"" Must match on devices 
             - ""Heartbeat Interfaces"" need to be defined on devices 
         4. Click ""OK"" to save changes and exit 

    In CLI: 
        FGT1 # config system ha  
        FGT1 (ha) # set mode a-p                                              ###(Active-Passive) 
        FGT1 (ha) # set group-name ""FGT-HA""                       ###(Set cluster name) 
        FGT1 (ha) # set password *******                             ###(Set password)  
        FGT1 (ha) # set hbdev port10 50                                 ###(Set Heartbeat Interface and priority) 
        FGT1 (ha) # end 

    To review configuration in CLI: 
        FGT1 # config system ha 
        FGT1 (ha) # show 
        config system ha 
            set group-name ""FGT-HA"" 
            set mode a-p 
            set password ENC    
  enrwD467hJmO6j6YW/l6FEOa1YNVYdo8Z5mCcTDEKUFpOVXcNYnPBmQDGX//ViXk6TkwNH0il5aJr/fZY25lq+husndQHZVWp2LIlXmCv/n81U43nkZUWaIKvqkellGFbhv0/IHoOLzQPCsVcBbyrsgoprYMvh6w7F+nRriBtMNQxpOV5V+e388EcwsOOMsXBZOw== 
            set hbdev ""port10"" 50  
            set override disable 
         end"
2.5.2,"Ensure ""Monitor Interfaces"" for High Availability devices is enabled",Configure Interface Monitoring within High Availability settings. Interface Monitoring should be enabled on all critical interfaces. ,"Reason:
    [reason_for_fail]

Remediation:
    To remediate from GUI: 
        1. Go to System > HA. 
        2. Under ""Monitor Interfaces"" select all applicable interfaces. 
        3. Select ""OK"". 

    To validate from CLI: 
        FGT1 # config system ha 
        FGT1 (ha) # set monitor ""port6"" ""port7"" 
        FGT1 (ha) # show                            ###To Review changes to monitored interfaces before applying 
        config system ha 
            set group-name ""FGT-HA"" 
            set mode a-p 
            set password ENC enrwD467hJmO6j6YW/l6FEOa1YNVYdo8Z5mCcTDEKUFpOVXcNYnPBmQDGX//ViXk6TkwNH0il5aJr/fZY25lq+husndQHZVWp2LIlXmCv/n81U43nkZUWaIKvqkellGFbhv0/IHoOLzQPCsVcBbyrsgoprYMvh6w7F06+nRriBtMNQxpiTE+12xAHz7lA3EoYZzf8A== 
            set override disable 
            set monitor ""port6"" ""port7""    
        end "
3.2,"Ensure that policies do not use ""ALL"" as Service",Ensure that all security policies in effect clearly state which protocols / services they are allowing. ,"Reason:
    [reason_for_fail]

Remediation:  
    This is an example showing how to modify policy with ID of 2 to change the service from ""ALL"" to FTP and SNMP.

    In CLI:  
        FGT1 # config firewall policy  
        FGT1 (policy) # edit 2 
        FGT1 (2) # set service ""FTP"" ""SNMP"" 
        FGT1 (2) # end 
        FGT1 #
 
    In the GUI,
         1. Go to Policy & Objects. 
         2. Click on Firewall Policy. 
         3. Select the policy, click ""Edit"". 
         4. In the Service section, click on it and select FTP and SNMP. Click OK. "
4.2.1,Ensure Antivirus Definition Push Updates are Configured,Ensure FortiGate is configured to accept antivirus definition push updates. ,"Reason:
    [reason_for_fail]

Remediation:
    On GUI: 
        1. Access the FortiGate administrative web access page and go to System > FortiGuard. 
        2. Under ""FortiGuard Updates"" ensure that the ""Scheduled updates"" is set to ""Automatic"".  

    On CLI: 
        config system autoupdate schedule 
        set status enable 
        set frequency automatic 
        end"
4.2.3,Enable Outbreak Prevention Database,Ensure FortiGate AV inspection uses outbreak prevention database as an added layer  of protection on top of antivirus' signature-based detection.,"Reason:
    [reason_for_fail]

Remediation:
    Review Antivirus Security Profiles and validate that ""Use FortiGuard outbreak prevention database"" is enabled. "
4.2.4,Enable AI /heuristic based malware detection,AI /heuristic based detection should be enabled.,"Reason:
    [reason_for_fail]

Remediation:
    On CLI: 
        FGT1 # config antivirus settings  
        FGT1 (settings) # set machine-learning-detection enable"
4.2.5,Enable grayware detection on antivirus,Grayware detection should be enabled. ,"Reason:
    [reason_for_fail]

Remediation:
    On CLI: 
        FGT1 # config antivirus settings 
        FGT1 (settings) # set grayware enable "
4.4.2,Block applications running on non-default ports,Ensure FortiGate Application Control blocks applications running on non-default ports. ,"Reason:
    [reason_for_fail]

Remediation:
    GUI: 
        1. Go to ""Security Profiles"" > ""Application Control"". 
        2. Select relevant App Control profile. 

    Enable ""Block applications detected on non-default ports"" option. 

    On CLI: 
        FGT1 # config application list 
        FGT1 (list) # edit <profile name> 
        FGT1 (<profile name>) # set enforce-default-app-port enable"
7.1.1,Enable Event Logging,Enabling event logging to allow for log generation and review.,"Reason:
    [reason_for_fail]

Remediation:
    On GUI: 
        1. Go to Log & Report > Log Settings. 
        2. Enable ""All"" Event Logging.  
    On CLI: 
        config log eventfilter 
        set event enable 
        end"
7.2.1,Encrypt Log Transmission to FortiAnalyzer / FortiManager ,Enable encryption for logs that are sent to FortiAnalyzer or FortiManager. ,"Reason:
    [reason_for_fail]

Remediation:
    Secure log transfer settings can only be configured on CLI: 
        config log fortianalyzer setting 
        set reliable enable 
        set enc-algorithm high 
        end "
