Name,Description,Settings,Remediation
3.11 Ensure the public role in the msdb database is not granted access to SQL Agent proxies (Automated),The public database role contains every user in the msdb database. SQL Agent proxies define a security context in which a job step can run.,null,"USE [msdb] GO EXEC dbo.sp_revoke_login_from_proxy @name = N'public', @proxy_name = N'<proxyname>'; GO"
3.12 Ensure the 'SYSADMIN' Role is Limited to Administrative or Built-in Accounts (Manual),"The SYSADMIN role is the highest privileged server-level role in SQL Server database engine. Moreover, by design built-in accounts by default are granted permission to this server-level role by Microsoft design so database engine works as expected. The following virtual accounts / Service SIDs are default members of SYSADMIN: NT SERVICE\SQLWriter NT SERVICE\Winmgmt NT SERVICE\MSSQLSERVER (Used by the SQL database engine service) NT SERVICE\SQLSERVERAGENT(Used by the SQL Agent service) This means that the service accounts for the SQL Database Engine and SQL Agent does not need to, and should not have , their specific service accounts added to the SYSADMIN group seperately, as it is not needed. The built-in database sa account and service accounts are automatically created during SQL Server installation are required to be granted SYSADMIN role. DBA’s can create accounts with SYSADMIN role for support and administration. Such accounts should be limited as well as protected using strict access and authorization restrictions.",Manual,ALTER ROLE SYSADMIN DROP MEMBER <account>;
3.13 Ensure membership in admin roles in MSDB database is limited (Automated),Based on Microsoft design an account with DB_OWNER can elevate permissions to SYSADMIN,"""Count"": 0",USE [msdb] GO ALTER ROLE [db_owner] DROP MEMBER  <username>;
4.2 Ensure 'CHECK_EXPIRATION' Option is set to 'ON' for All SQL Authenticated Logins Within the Sysadmin Role (Automated),Applies the same password expiration policy used in Windows to passwords used inside SQL Server.,Manual,ALTER LOGIN [<login_name>] WITH CHECK_EXPIRATION = ON;
4.3 Ensure 'CHECK_POLICY' Option is set to 'ON' for All SQL Authenticated Logins (Automated),Applies the same password complexity policy used in Windows to passwords used inside SQL Server.,Manual,ALTER LOGIN [<login_name>] WITH CHECK_POLICY = ON;
5.1 Ensure 'Maximum number of error log files' is set to greater than or equal to '12' (Automated),SQL Server error log files must be protected from loss. The log files must be backed up before they are overwritten. Retaining more error logs helps prevent loss from frequent recycling before backups can occur.,Manual NumberOfLogFiles= -1 or NumberOfLogFiles>=12,"EXEC master.sys.xp_instance_regwrite N'HKEY_LOCAL_MACHINE', N'Software\Microsoft\MSSQLServer\MSSQLServer', N'NumErrorLogs', REG_DWORD,<NumberAbove12> ;"
5.2 Ensure 'Default Trace Enabled' Server Configuration Option is set to '1' (Automated),"The default trace provides audit logging of database activity including account creations, privilege elevation and execution of DBCC commands.","""name"": ""default trace enabled"",""value_configured"": 1,""value_in_use"": 1","EXECUTE sp_configure 'show advanced options', 1; RECONFIGURE; EXECUTE sp_configure 'default trace enabled', 1; RECONFIGURE; GO EXECUTE sp_configure 'show advanced options', 0; RECONFIGURE;"
5.3 Ensure 'Login Auditing' is set to 'failed logins' (Automated),"This setting will record failed authentication attempts for SQL Server logins to the SQL Server Errorlog. This is the default setting for SQL Server. Historically, this setting has been available in all versions and editions of SQL Server. Prior to the availability of SQL Server Audit, this was the only provided mechanism for capturing logins (successful or failed).",Manual AuditLevel=Failure or AuditLevel= All,"EXEC xp_instance_regwrite N'HKEY_LOCAL_MACHINE', N'Software\Microsoft\MSSQLServer\MSSQLServer', N'AuditLevel', REG_DWORD, 2"
7.3 Ensure Database Backups are Encrypted (Automated),Ensure Database Backups are Encrypted,null,"SQL Server backups need to 'Back up to a new media set', not 'Back up to the existing media set' in order to allow for encryption. The backup option to Encrypt Backup can be implemented after a Certificate or Asymmetric key has been applied to the SQL Server for this purpose. Alternatively, encrypt the database with TDE. This automatically encrypts the backups as well. See 7.5"
7.4 Ensure Network Encryption is Configured and Enabled (Automated),"Configuring and enabling network encryption ensures traffic between the application and the database system is encrypted. This will ensure compliance to security standards such as PCI DSS, which is required if connections are through a public network. Network encryption can be configured in SQL Server either with self-signed certificates or TLS certificates.",Manual,Refer to Microsoft SQL Server Encryption Documentation: https://learn.microsoft.com/en-us/sql/relational-databases/security/encryption/sql-server encryption
7.5 Ensure Databases are Encrypted with TDE (Automated),Ensure user databases are encrypted using Transparent Data Encryption (TDE). Backups of databases encrypted with TDE are automatically encrypted as well.,null,Implement TDE encryption on each user database with sensitive data. More info on how to do this is available here: https://learn.microsoft.com/en-us/sql/relational-databases/security/encryption/transparent-data-encryption
